brain	heart	kidney	liver
MGP_PahariEiJ_G0008682	3.356114	0	3.435399	0
MGP_PahariEiJ_G0008683	0	0.7469293	0	0
MGP_PahariEiJ_G0008685	1.8871	1.48672	1.136132	0.4359358
MGP_PahariEiJ_G0008686	0	1.179371	0	0
MGP_PahariEiJ_G0008695	0	0	0.6581393	0
MGP_PahariEiJ_G0008696	0	1.101785	1.026063	0
MGP_PahariEiJ_G0008697	0.5318361	0	3.629147	0.3703842
MGP_PahariEiJ_G0008701	0	0	1.741105	1.116085
MGP_PahariEiJ_G0008704	2.555222	1.025674	2.940216	0.829753
MGP_PahariEiJ_G0008708	3.522043	1.405785	3.010778	1.355507
MGP_PahariEiJ_G0008709	0.4593508	0	0	0
MGP_PahariEiJ_G0008710	0	0.1730507	0.8439364	0
MGP_PahariEiJ_G0008712	0.7380397	0	0	0
MGP_PahariEiJ_G0008713	0	0	0	0.4802165
MGP_PahariEiJ_G0008714	0	0.6243405	2.273155	0
MGP_PahariEiJ_G0008716	0	1.253529	3.084236	1.16954
MGP_PahariEiJ_G0008717	1.808673	1.561101	1.707255	1.137956
MGP_PahariEiJ_G0008721	1.136165	0.3490663	1.82359	0
MGP_PahariEiJ_G0008722	0	0	0.4682163	0
MGP_PahariEiJ_G0008723	0.6180178	0	0.7564264	0
MGP_PahariEiJ_G0008725	3.256457	2.330888	2.106174	2.166397
MGP_PahariEiJ_G0008726	0.7466438	0	0.920153	0
MGP_PahariEiJ_G0008727	7.12347	5.751134	4.16502	4.876183
MGP_PahariEiJ_G0008729	1.281384	0.3685482	0.3392252	0
MGP_PahariEiJ_G0008732	1.894112	2.296184	3.007389	0
MGP_PahariEiJ_G0008738	0.4993842	0	0.335625	0
MGP_PahariEiJ_G0008741	0.8718752	0	0.2197044	0
MGP_PahariEiJ_G0008742	0.9429558	0	0	0
MGP_PahariEiJ_G0008743	0	0	2.079801	0.8533865
MGP_PahariEiJ_G0008744	2.109865	0.4792823	1.956425	0.4424818
MGP_PahariEiJ_G0008746	5.612465	3.081575	4.365679	3.805963
MGP_PahariEiJ_G0008748	1.112186	0	0	0
MGP_PahariEiJ_G0008749	5.377346	6.759089	6.522842	4.55676
MGP_PahariEiJ_G0008750	2.530123	1.52689	1.895559	1.267931
MGP_PahariEiJ_G0008753	1.555968	0	2.161839	0
MGP_PahariEiJ_G0008754	0.6665121	0.500079	1.514501	0.2531434
MGP_PahariEiJ_G0008757	0.4886631	0	0.5821369	0
MGP_PahariEiJ_G0008758	0	0	4.659197e-07	0
MGP_PahariEiJ_G0008759	0.3004658	0	0	0
MGP_PahariEiJ_G0008760	0	0	0.8646842	0
