kidney	liver	ovary	testis
ENSTRUG00000000300	0.02291801	3.092126234	0	0.02293477
ENSTRUG00000000301	2.8016825	1.6205588525	4.685256	0.8158992
ENSTRUG00000000302	3.276533	1.373787186	2.528014	0.4601087
ENSTRUG00000000303	6.014915	3.0061003575	6.477295	1.955937
ENSTRUG00000000304	6.3971495	4.5246070575	6.247916	3.584374
ENSTRUG00000000305	3.000105	1.4719617005	2.54322	0.544665
ENSTRUG00000000306	6.0864955	2.980597241	5.89394	2.845934
ENSTRUG00000000307	0.04787588	0	0	0.04660602
ENSTRUG00000000309	0.13826047	0	0	0.7958276
ENSTRUG00000000310	2.273323	0.802349350435	4.470316	3.52672
ENSTRUG00000000311	0.40803645	0	0	0.1973559
ENSTRUG00000000312	12.005025	10.2626384855	12.25837	10.81385
ENSTRUG00000000313	2.438576	0.811723746	2.16468	0.2546495
ENSTRUG00000000314	0	0	0.4395944	0.2880738
ENSTRUG00000000315	0.6408835	0.2663393995	0.0812139	0
ENSTRUG00000000316	4.805396	0.5351816455	0.03117454	0
ENSTRUG00000000317	1.6770705	2.1048949015	2.479895	0.4010425
ENSTRUG00000000318	3.9468225	1.086927629	4.141122	1.830742
ENSTRUG00000000319	0.012027545	0.020445444	0.3609721	0.2533939
ENSTRUG00000000320	1.5157935	0.058711864	0.2812994	0.05424544
ENSTRUG00000000321	7.361351	8.1624351235	6.917456	3.871914
ENSTRUG00000000322	0.1589518	0.2155622075	1.516681	0.6474294
ENSTRUG00000000323	0.76014705	6.329196967	5.987732	1.241846
ENSTRUG00000000324	0.02831172	0	2.210447	0.08768259
ENSTRUG00000000325	0.023743995	0.0164382575	0.03689517	0.2786137
ENSTRUG00000000326	3.2298525	1.6409177105	2.339824	0.5844007
ENSTRUG00000000327	0.0923325	0	0.1749369	0
ENSTRUG00000000328	0.5288987	0.680486798	1.178935	0.09988617
ENSTRUG00000000329	2.8447105	0.7184448245	1.895289	1.722431
ENSTRUG00000000330	0.80253465	3.219703016	0.03332771	0.07234786
ENSTRUG00000000331	6.4603065	2.284851127	7.081487	2.041148
ENSTRUG00000000332	5.871663	5.175215362	6.384024	3.984863
ENSTRUG00000000333	3.468338	1.810176551	3.007413	0.3382692
ENSTRUG00000000334	0	0	0.08071401	0.3656847
ENSTRUG00000000335	0.27707855	0.1652194285	2.880676	1.742741
ENSTRUG00000000336	0.1579541	0	0	3.100063
ENSTRUG00000000337	5.031542	1.219637309	4.73313	1.483067
ENSTRUG00000000338	1.0825251	0.0687521205	4.605153	0.2733036
ENSTRUG00000000339	2.2909265	1.8232537255	1.240502	3.674367
ENSTRUG00000000340	0.42385125	0.110834896	1.510486	0.1953161
ENSTRUG00000000341	0.88964985	0.766089651	0.6607242	0
ENSTRUG00000000342	3.2031595	1.2327886435	2.290127	0.172732
ENSTRUG00000000343	5.2380315	3.4494896915	5.956879	2.412822
ENSTRUG00000000344	2.2067565	0.8410073615	2.635583	5.530639
ENSTRUG00000000345	0.11863195	0	0	0.2656614
ENSTRUG00000000346	0.3935583	0.169444737	1.212523	0.3033037
ENSTRUG00000000347	2.2688875	0.3324977285	1.284582	0.2674783
ENSTRUG00000000348	0.03133421	0.7286079545	0.252265	0.1720228
ENSTRUG00000000349	9.342738	5.7124974245	9.474002	8.548602
ENSTRUG00000000350	3.4474195	0.6319351935	4.265033	2.311617
ENSTRUG00000000351	0.5003595	0.089393255	0.3136	0.06414435
ENSTRUG00000000352	2.782848	0.438804893	0.2275193	0.02533715
ENSTRUG00000000353	0.127193	0	0.3709432	0.4731728
ENSTRUG00000000354	4.121541	2.287911886	3.801676	2.285109
ENSTRUG00000000355	5.769346	4.172497562	6.806332	4.128542
ENSTRUG00000000356	0	1.044756	0	0.1103695
ENSTRUG00000000357	2.5926	1.550125086	2.631125	0.2830956
ENSTRUG00000000358	3.4836055	1.630111786	2.216287	0.5960955
ENSTRUG00000000359	0.148778445	0.066131368	0.319569	0.5408268
ENSTRUG00000000360	2.7791105	1.643862873	3.261052	0.962743
ENSTRUG00000000361	2.6371095	2.429046995	4.22	0.6348219
