liver	ovary	testis
ENSAMEG00000000395	NA	3.795216	4.166121
ENSAMEG00000000396	NA	0	0.1093212
ENSAMEG00000000397	NA	3.179263	1.724637
ENSAMEG00000000399	NA	4.587371	2.868673
ENSAMEG00000000400	NA	2.219305	0.7290254
ENSAMEG00000000401	NA	3.053506	1.321934
ENSAMEG00000000402	NA	0.06851302	3.721099
ENSAMEG00000000403	NA	0.6027125	0.2322039
ENSAMEG00000000404	NA	0.619859	0.2669508
ENSAMEG00000000405	NA	2.039395	0.2379901
ENSAMEG00000000406	NA	2.312256	1.481604
ENSAMEG00000000407	NA	0	6.106664
ENSAMEG00000000408	NA	4.567977	4.613272
ENSAMEG00000000409	NA	3.592876	4.770369
ENSAMEG00000000410	NA	3.674336	1.716868
ENSAMEG00000000411	NA	4.802483	4.283255
ENSAMEG00000000412	NA	4.872193	3.981999
ENSAMEG00000000413	NA	0	5.620009
ENSAMEG00000000414	NA	5.675203	5.031841
ENSAMEG00000000415	NA	4.539506	5.28911
ENSAMEG00000000416	NA	6.695284	5.966908
ENSAMEG00000000417	NA	4.052798	3.155333
ENSAMEG00000000418	NA	2.336001	6.460145
ENSAMEG00000000419	NA	0.7848256	0.1899649
ENSAMEG00000000420	NA	0.6628627	0.04898761
ENSAMEG00000000421	NA	2.291692	1.968231
ENSAMEG00000000422	NA	3.505383	1.495685
ENSAMEG00000000423	NA	0.3860417	0.0852253
ENSAMEG00000000425	NA	5.297103	3.328825
ENSAMEG00000000426	NA	0.6967986	0
ENSAMEG00000000427	NA	0	0.08238037
ENSAMEG00000000428	NA	0.2951341	0.4716599
ENSAMEG00000000429	NA	2.021128	2.808198
ENSAMEG00000000430	NA	3.986529	5.958441
ENSAMEG00000000432	NA	2.959512	2.172027
ENSAMEG00000000433	NA	4.438858	2.79236
ENSAMEG00000000434	NA	1.270649	3.148104
ENSAMEG00000000436	NA	1.017673	1.686052
ENSAMEG00000000438	NA	0.2789411	0.8122501
ENSAMEG00000000439	NA	5.811173	2.517475
ENSAMEG00000000440	NA	3.826426	3.186379
ENSAMEG00000000441	NA	1.107166	0.438444
ENSAMEG00000000442	NA	0	0.1754607
ENSAMEG00000000443	NA	4.220531	1.504575
ENSAMEG00000000444	NA	2.260679	0.9284552
ENSAMEG00000000445	NA	5.504649	2.820935
ENSAMEG00000000446	NA	4.570554	3.722739
ENSAMEG00000000447	NA	3.328857	2.910126
ENSAMEG00000000448	NA	4.149365	0.9464277
ENSAMEG00000000450	NA	4.878465	5.582243
ENSAMEG00000000451	NA	0.906171	0.1166493
ENSAMEG00000000452	NA	5.311172	6.328707
ENSAMEG00000000453	NA	0	1.937408
ENSAMEG00000000454	NA	0.1204675	1.870015
ENSAMEG00000000455	NA	4.796878	1.237215
ENSAMEG00000000456	NA	0	2.191389
ENSAMEG00000000457	NA	6.101045	5.290988
ENSAMEG00000000458	NA	2.016935	0
ENSAMEG00000000459	NA	2.075786	0.6475742
