heart	kidney	liver	ovary
ENSANAG00000004245	1.009139	3.175777	1.523296	1.531089
ENSANAG00000004246	1.709741	2.474407	1.99891	2.613873
ENSANAG00000004247	0	0.09045091	0.07117724	0.3142661
ENSANAG00000004249	6.100267	6.300788	5.952664	6.346696
ENSANAG00000004259	0	0	0	0.3813919
ENSANAG00000004264	3.751849	4.36254	2.255936	4.919674
ENSANAG00000004276	5.382968	1.514405	2.185768	1.333223
ENSANAG00000004277	3.830879	2.925055	3.580907	3.996708
ENSANAG00000004283	4.981438	4.982786	4.954851	5.629091
ENSANAG00000004341	3.316447	3.001975	2.487406	4.521742
ENSANAG00000004353	3.031014	1.076231	2.476229	2.491135
ENSANAG00000004407	3.66216	1.48071	2.219203	2.214032
ENSANAG00000004458	4.301529	4.01256	4.49414	6.443322
ENSANAG00000004524	0	0	0	0.1836694
ENSANAG00000004525	4.618315	4.8995	3.562792	4.92106
ENSANAG00000004526	1.472587	2.595833	1.949979	3.242014
ENSANAG00000004527	3.042965	3.171043	1.235709	3.449989
ENSANAG00000004528	6.685488	7.073488	6.609276	7.158014
ENSANAG00000004585	3.879961	4.609211	4.360343	5.257938
ENSANAG00000004587	1.806097	2.345757	1.690446	2.365099
ENSANAG00000004612	0	0.3391739	0	1.140615
ENSANAG00000004647	0	0	0.05062776	0.04521047
ENSANAG00000004672	3.337703	4.722816	4.244826	4.477462
ENSANAG00000004675	8.382554	4.633472	3.609814	5.728304
ENSANAG00000004683	0.1684906	0.9403577	0.08627941	0.9547398
ENSANAG00000004712	0.9215849	0	0	0
ENSANAG00000004725	0	0.04793087	0	0.2143748
ENSANAG00000004744	0.273239	2.027037	0.5759416	0.5279781
ENSANAG00000004774	2.201681	2.884264	2.085428	3.123734
ENSANAG00000004781	1.810768	1.659683	1.30402	2.471671
ENSANAG00000004803	4.60816	2.872053	1.213229	2.645389
ENSANAG00000004812	1.240876	1.562245	0.9724456	1.333074
ENSANAG00000004850	6.572994	5.064961	1.978811	5.870108
ENSANAG00000004851	8.280989	8.402036	8.448158	8.081979
ENSANAG00000004875	6.70371	7.403702	6.229859	8.180043
ENSANAG00000004878	7.489322	9.169817	8.626533	9.114086
ENSANAG00000004909	3.836564	3.554021	2.682692	3.311322
ENSANAG00000004931	5.994025	6.243207	4.990908	7.154366
ENSANAG00000004938	0	0.2774694	0	0
ENSANAG00000004973	4.651247	4.440826	3.697607	5.191294
ENSANAG00000004984	0	0	0	0.5463132
ENSANAG00000004991	2.57553	3.578906	1.617213	4.16825
ENSANAG00000004992	1.567317	2.476294	1.715331	2.06399
ENSANAG00000005006	3.827504	3.646981	3.084362	4.243395
ENSANAG00000005027	1.713225	2.504229	1.686675	2.819987
ENSANAG00000005028	1.014927	1.740474	0.9504176	1.911726
ENSANAG00000005029	6.906309	6.905752	6.6681	7.475305
ENSANAG00000005030	4.367231	4.631465	4.667313	6.64533
ENSANAG00000005058	4.539922	5.598264	4.211113	6.247795
ENSANAG00000005063	1.482554	0.5490412	0.1286424	2.256597
ENSANAG00000005065	2.285633	3.439467	6.291271	4.03675
ENSANAG00000005085	4.343259	5.47356	4.287635	6.65204
ENSANAG00000005106	0	0	0	0.05996919
ENSANAG00000005124	0.76245	0.6238631	0.6292186	0.8378932
ENSANAG00000005144	6.676747	6.552852	6.193421	7.551608
ENSANAG00000005150	2.818467	2.727949	2.084588	3.300822
ENSANAG00000005171	0.4983091	1.396916	0.7519907	1.320895
ENSANAG00000005172	0.3149088	0.6225462	0.6345654	0.8362934
ENSANAG00000005209	1.249178	1.549368	1.223874	1.419213
ENSANAG00000005235	0.2132925	0	0	0.2613057
ENSANAG00000005245	1.117795	2.417145	1.23142	1.063952
ENSANAG00000005253	3.65582	4.024808	3.540551	4.874378
ENSANAG00000005300	0	0	0	4.604433
ENSANAG00000005302	5.651505	5.490554	5.075182	5.930953
ENSANAG00000005303	1.174406	1.181281	0.6875982	1.758094
ENSANAG00000005327	1.353207	0.3230645	1.069998	3.064123
ENSANAG00000005355	0	0.9602285	0.4748046	1.273397
ENSANAG00000005361	1.17668	0.1372085	0	0.2909209
ENSANAG00000005387	6.593881	6.115345	4.782267	6.116737
ENSANAG00000005388	3.423264	4.608471	2.036257	4.528246
ENSANAG00000005418	0.09990044	0.1847284	0.1500423	0.5384001
ENSANAG00000005419	2.826602	1.768482	1.545991	3.69225
ENSANAG00000005420	0.3113264	0.1886131	1.072754	0.03352872
ENSANAG00000005478	0	0.4918203	0	0
ENSANAG00000005481	1.722405	1.014498	2.38513	2.051588
ENSANAG00000005482	4.432959	4.142119	3.451036	4.623446
ENSANAG00000005489	3.40714	2.766002	1.996348	3.444157
ENSANAG00000005527	1.47847	2.207296	0.5942093	0.9055111
ENSANAG00000005557	4.938239	5.73276	4.709362	5.686204
ENSANAG00000005559	0.2436545	0	0.163415	0
ENSANAG00000005567	3.200244	3.733952	3.522808	3.319051
ENSANAG00000005571	4.393471	5.659208	5.309522	7.521718
ENSANAG00000005572	4.18323	4.375119	3.570469	3.256541
ENSANAG00000005573	0.052993	0.135494	0	0.1419193
ENSANAG00000005585	1.967269	2.266466	2.197271	2.76583
ENSANAG00000005611	2.746328	10.07991	2.951756	2.618015
ENSANAG00000005641	0	0.4307531	0.1740088	0.06575896
ENSANAG00000005652	0	0.8096095	0	0
ENSANAG00000005678	2.036746	2.989214	2.392341	3.110554
ENSANAG00000005679	4.255742	4.808478	6.474491	6.218276
ENSANAG00000005680	0	3.693576	0.2833766	0
ENSANAG00000005702	1.750538	7.737565	1.193715	0.9523813
ENSANAG00000005705	2.397116	1.494308	0	1.554643
ENSANAG00000005707	0	0.5542588	1.087381	1.734517
ENSANAG00000005727	1.188243	2.799301	0.950964	3.315504
ENSANAG00000005728	3.594596	3.55828	2.397524	4.067381
ENSANAG00000005729	3.683683	5.693228	4.406503	4.025775
ENSANAG00000005730	5.098272	5.735238	5.627636	6.388904
ENSANAG00000005767	4.095264	4.29294	3.758298	5.277277
ENSANAG00000005773	0.6544291	0.8995484	0.7451297	1.061569
ENSANAG00000005794	0.9672387	0.04389516	0	0
ENSANAG00000005795	1.578572	3.037391	2.670985	3.567618
ENSANAG00000005809	3.555489	3.382021	3.839791	2.851555
ENSANAG00000005822	3.902259	3.96719	2.165064	4.712542
ENSANAG00000005846	5.134324	5.718822	5.238852	6.073439
ENSANAG00000005847	2.701695	2.637726	1.995626	4.213915
ENSANAG00000005861	5.24672	4.643458	4.031298	6.748649
ENSANAG00000005926	0	0.7316959	0	0
ENSANAG00000005930	3.484718	2.186611	0	2.847243
ENSANAG00000005932	1.295564	1.940404	0.5414038	2.849435
ENSANAG00000005937	0.6646594	2.340705	0.9107342	0.5156711
ENSANAG00000005973	0.9494953	2.009741	1.275049	2.151284
ENSANAG00000005998	0.1961638	0	0.2816199	0.7523795
ENSANAG00000006028	3.89456	6.135669	7.531991	2.79515
ENSANAG00000006064	0.03766434	0	0	0
ENSANAG00000006067	0.08284522	0.4738357	0.1811242	0
ENSANAG00000006085	0	2.844514	1.419118	2.064683
ENSANAG00000006087	0.2088843	1.136775	1.23099	0.9518571
ENSANAG00000006089	4.543152	5.086711	4.762557	5.582605
ENSANAG00000006105	0.4358313	6.895569	0.621636	0.9836981
ENSANAG00000006106	0	0.2806392	0	0.07882253
ENSANAG00000006107	1.732543	2.992787	3.081951	2.831054
ENSANAG00000006108	0.1575858	0.1969708	0	1.376074
ENSANAG00000006111	3.909389	4.771474	4.428089	5.772073
ENSANAG00000006147	1.759774	2.896069	3.201052	3.471096
ENSANAG00000006239	1.858415	0	0	1.449424
ENSANAG00000006240	1.403393	4.015747	0.8803031	0.07484997
ENSANAG00000006241	3.831837	4.508365	2.8189	4.671044
ENSANAG00000006250	5.586819	4.695479	1.760069	4.431763
ENSANAG00000006270	0	2.217767	0.4593907	0.5405114
ENSANAG00000006271	0	1.027197	1.217466	1.761681
ENSANAG00000006272	0.2780383	0.1912948	0.2989773	0
ENSANAG00000006311	1.459725	1.915089	0.7746011	0.7525491
ENSANAG00000006312	0.843356	3.286645	1.204814	2.742556
ENSANAG00000006330	1.471734	2.577364	1.359038	2.727324
ENSANAG00000006331	0	0.2648523	0.8919099	1.331975
ENSANAG00000006352	1.076073	0.9556662	0.391044	1.712877
ENSANAG00000006357	0.1239709	0.3293016	0.1221423	0.6376501
ENSANAG00000006396	0.1691425	0.1043181	0	0
ENSANAG00000006397	4.659775	4.8647	2.976044	6.283709
ENSANAG00000006402	3.827747	3.300447	2.458148	2.943653
ENSANAG00000006434	6.543955	7.377679	5.798587	7.173647
