brain	heart	kidney	liver
ENSRBIG00000001796	4.501318	4.212079	4.781722	4.511658
ENSRBIG00000001823	6.981967	5.938408	5.316305	4.967957
ENSRBIG00000001824	0	0.02776455	0	0
ENSRBIG00000001831	6.746872	6.362407	6.813141	6.014935
ENSRBIG00000001832	6.534408	6.103958	4.526595	2.762951
ENSRBIG00000001849	0.2922423	0.163482	0.07189801	0
ENSRBIG00000001854	3.685021	2.575891	1.059085	0.8446966
ENSRBIG00000001857	3.543582	2.381643	3.090494	2.348162
ENSRBIG00000001872	0.2744966	0.04342024	0	0
ENSRBIG00000001881	6.909065	7.0825	8.085271	3.157382
ENSRBIG00000001886	0	1.047252	0.5059976	0
ENSRBIG00000001906	0.5920629	0.1348719	1.679526	0.2374964
ENSRBIG00000001910	3.83129	3.417961	4.189666	2.286263
ENSRBIG00000001911	0	0	0	1.39679
ENSRBIG00000001912	5.727177	4.632298	4.514786	3.443054
ENSRBIG00000001927	4.870227	2.341254	3.732779	4.055317
ENSRBIG00000001942	0	0.07269991	0	0
ENSRBIG00000001952	4.082141	2.995908	3.28889	2.747985
ENSRBIG00000001956	3.770427	2.666029	3.673059	3.081098
ENSRBIG00000001964	1.143851	0.07242429	0.0633131	0
ENSRBIG00000001979	1.091828	0.236075	1.415667	1.204372
ENSRBIG00000001980	5.144694	3.721988	5.163267	3.892463
ENSRBIG00000002017	2.759348	2.745549	5.168415	5.31379
ENSRBIG00000002036	3.028426	0.7688974	2.370092	2.111539
ENSRBIG00000002044	0	0	0	1.005342
ENSRBIG00000002054	5.509591	1.608439	7.712422	8.741061
ENSRBIG00000002072	6.813756	2.360381	6.689537	3.774471
ENSRBIG00000002093	6.597521	5.517228	5.861017	4.185129
ENSRBIG00000002094	0	0.03409553	0	0
ENSRBIG00000002104	1.347348	0.8479184	1.030837	1.567867
ENSRBIG00000002107	6.138937	7.565582	7.396416	1.510668
ENSRBIG00000002115	3.919817	2.101371	3.343259	2.61308
ENSRBIG00000002128	6.818851	6.446675	3.679536	3.754353
ENSRBIG00000002129	4.459508	3.947122	4.991055	4.695255
ENSRBIG00000002133	0.5159122	0	0	0
ENSRBIG00000002135	4.062657	4.576903	4.25445	3.66695
ENSRBIG00000002136	4.62327	4.054892	3.747377	2.869429
ENSRBIG00000002148	2.210009	2.160449	1.372501	3.290937
ENSRBIG00000002149	0.4182752	0	0	0
ENSRBIG00000002178	6.275288	5.635882	6.179587	6.002439
ENSRBIG00000002194	5.327641	0.4649118	1.093729	1.14868
ENSRBIG00000002209	3.837286	0.2894174	1.050557	1.007906
ENSRBIG00000002219	1.453618	5.975926	3.769158	4.28221
ENSRBIG00000002220	0.4225667	0.5670995	0.1131134	0.08937476
ENSRBIG00000002228	4.117013	1.22409	1.000959	1.477175
ENSRBIG00000002251	3.60992	5.948603	3.681429	4.528077
ENSRBIG00000002253	3.097918	2.085644	2.680132	1.385978
ENSRBIG00000002254	5.220678	4.290719	5.57158	4.840287
ENSRBIG00000002255	2.796465	3.776767	3.622326	3.769049
ENSRBIG00000002278	5.995319	4.841233	5.622151	4.633001
ENSRBIG00000002279	0	0	0.04682796	0
ENSRBIG00000002280	5.976563	5.832163	6.518318	6.568394
ENSRBIG00000002281	3.675093	3.492122	6.270673	4.834656
ENSRBIG00000002286	4.179049	2.641634	4.994679	2.07007
ENSRBIG00000002287	4.548208	4.472494	4.16188	3.170989
ENSRBIG00000002314	2.606295	1.265785	1.71337	0.4556705
ENSRBIG00000002315	2.395782	0.9933744	3.239524	0.4513426
