heart	kidney	liver
ENSDNOG00000000718	0.3159754	0.8519013	1.53963
ENSDNOG00000000721	2.827392	4.466405	4.432245
ENSDNOG00000000724	1.380768	2.637346	3.599496
ENSDNOG00000000725	1.201088	2.445553	2.141119
ENSDNOG00000000727	0.3968105	0.4524742	0.768031
ENSDNOG00000000728	0.3372727	0.5310665	1.616886
ENSDNOG00000000730	1.98923	3.516116	3.263886
ENSDNOG00000000731	3.143566	6.628332	9.278073
ENSDNOG00000000732	0.3532284	0.8933576	0.4016261
ENSDNOG00000000740	3.27682	5.511032	4.487383
ENSDNOG00000000744	0.5786683	0	0
ENSDNOG00000000745	0.1615614	0.4662408	0.4630291
ENSDNOG00000000749	1.517256	3.450429	3.26479
ENSDNOG00000000752	5.404454	7.161444	7.39894
ENSDNOG00000000757	1.709229	2.258121	1.962027
ENSDNOG00000000758	4.218921	7.224117	6.188945
ENSDNOG00000000761	0.2309482	0.4163328	0.1930475
ENSDNOG00000000762	0.9721566	1.979257	2.009494
ENSDNOG00000000763	0.2358937	2.818082	0.5402307
ENSDNOG00000000765	0.7945623	2.751764	1.972755
ENSDNOG00000000766	0.5678277	1.268309	2.522791
ENSDNOG00000000767	6.544167	8.390332	8.127259
ENSDNOG00000000768	1.5645	2.72171	2.391941
ENSDNOG00000000770	9.808303	11.10194	10.71884
ENSDNOG00000000771	2.049544	2.665602	2.144265
ENSDNOG00000000774	0	0	0.1199359
ENSDNOG00000000775	0.8377293	2.816038	2.518278
ENSDNOG00000000776	0.4900546	1.184077	3.213968
ENSDNOG00000000779	0	1.324021	0
ENSDNOG00000000780	0	0	0.1902078
ENSDNOG00000000782	0.03841989	0.1165435	0.1007644
ENSDNOG00000000795	0.0719735	0	0
ENSDNOG00000000796	0.0297986	0	0.102016
ENSDNOG00000000797	0.7439673	1.822428	1.266205
ENSDNOG00000000799	0	0	0.05972933
ENSDNOG00000000800	1.008473	1.973112	0.327101
ENSDNOG00000000806	1.428694	2.194005	1.848854
ENSDNOG00000000807	1.683925	4.13992	2.489381
ENSDNOG00000000808	3.947721	3.208891	3.829355
ENSDNOG00000000809	3.421878	5.30072	4.510854
ENSDNOG00000000812	0.6824636	2.040479	2.12891
ENSDNOG00000000813	3.661864	5.065456	5.357387
ENSDNOG00000000814	2.587365	5.605874	4.646791
ENSDNOG00000000815	0.9468424	3.713784	5.03758
ENSDNOG00000000819	0	0.09933466	0.07810904
ENSDNOG00000000820	1.745151	4.229649	3.995756
ENSDNOG00000000823	2.638176	4.501363	3.94918
ENSDNOG00000000826	0.4873577	0.9778155	0.9330627
ENSDNOG00000000828	2.768388	4.533931	4.400181
ENSDNOG00000000830	1.686541	2.499313	2.231018
ENSDNOG00000000831	0.766501	1.862205	0.3313727
ENSDNOG00000000833	1.536222	3.329437	2.631338
ENSDNOG00000000836	0	0.2951012	0
ENSDNOG00000000837	1.685375	2.923653	3.208424
ENSDNOG00000000839	1.907691	5.077666	3.041595
ENSDNOG00000000840	0.1513822	0.2955608	0.2653145
ENSDNOG00000000841	0.7012651	1.536247	1.158615
ENSDNOG00000000842	0.6576409	0.2891959	0.7509855
ENSDNOG00000000845	4.532685	3.366587	3.662513
ENSDNOG00000000852	0.1990799	1.126206	0.7841421
ENSDNOG00000000855	0.9593236	1.970714	1.916943
ENSDNOG00000000856	0	3.36376	0.7744729
ENSDNOG00000000862	1.513743	3.031067	3.162606
ENSDNOG00000000863	0.4068817	1.162165	3.871676
ENSDNOG00000000867	0.7623182	0	4.586308
ENSDNOG00000000868	6.144159	8.132011	7.871905
ENSDNOG00000000871	0	0.2258721	0.1002559
ENSDNOG00000000872	0.3586652	0.9682582	1.571218
ENSDNOG00000000874	5.470266	5.571455	4.551212
ENSDNOG00000000875	0.007323774	0	0
ENSDNOG00000000877	0.8330536	1.000159	1.746532
ENSDNOG00000000878	1.014127	0.5801078	2.299274
ENSDNOG00000000879	0.6797796	3.808838	6.016922
ENSDNOG00000000880	0.3364514	0.5148494	0.8159885
ENSDNOG00000000882	2.354272	5.047255	5.647041
ENSDNOG00000000887	1.737094	2.400174	2.037066
ENSDNOG00000000889	0.989559	3.144214	3.461437
ENSDNOG00000000891	2.701183	4.128632	4.661596
ENSDNOG00000000896	0	0.1876563	3.854006
ENSDNOG00000000899	2.535906	4.24653	2.96015
ENSDNOG00000000902	0.861159	3.148405	2.843493
ENSDNOG00000000903	0.05029286	3.481351	0.3702826
ENSDNOG00000000905	0.4258975	1.012719	1.358436
ENSDNOG00000000907	1.812531	2.704797	2.659265
ENSDNOG00000000914	0	3.536687	1.065441
ENSDNOG00000000920	0.6380636	2.550009	0.3092705
ENSDNOG00000000922	0.8035172	1.738206	3.775377
ENSDNOG00000000925	3.83136	4.173323	3.856851
ENSDNOG00000000926	1.670451	3.196648	4.536252
ENSDNOG00000000929	2.493122	4.129687	4.587743
ENSDNOG00000000933	2.852285	3.630673	3.57398
ENSDNOG00000000934	7.715111	9.303372	8.033643
ENSDNOG00000000935	0.2082101	0.446468	2.408141
ENSDNOG00000000936	0.09697587	0	0
ENSDNOG00000000937	0.7754922	3.187228	2.506904
ENSDNOG00000000938	0.299873	3.471526	0.7043045
ENSDNOG00000000941	0	0	1.133886
ENSDNOG00000000944	0.5375972	1.876994	1.395946
ENSDNOG00000000945	0.03184784	6.228733	0.5874821
ENSDNOG00000000946	0.2390265	0.3100062	0.6890522
ENSDNOG00000000948	0.3984007	2.890139	0.4703099
ENSDNOG00000000949	1.007396	3.149884	5.410406
ENSDNOG00000000955	1.320121	4.413669	1.943869
ENSDNOG00000000957	0.565177	1.076019	0.6671291
ENSDNOG00000000965	1.469904	0.8716536	0.7497522
ENSDNOG00000000975	0	0.2294181	0
ENSDNOG00000000976	2.942293	4.666984	5.54048
ENSDNOG00000000979	0.1496574	0	0.1664455
ENSDNOG00000000981	8.842306	10.03085	9.47547
ENSDNOG00000000986	1.869145	2.963356	4.578848
ENSDNOG00000000994	0.3391545	1.28801	1.668646
ENSDNOG00000000999	0.9399118	3.425016	3.673774
ENSDNOG00000001000	2.518364	4.202983	2.957155
ENSDNOG00000001002	0.2658293	1.129929	0.6086219
ENSDNOG00000001007	0.2623888	0.124279	0.2348753
ENSDNOG00000001008	0	0	1.055404
ENSDNOG00000001011	0.2386536	2.69889	4.262907
ENSDNOG00000001013	0.9511096	1.37274	1.649528
ENSDNOG00000001014	2.863498	4.990557	3.802893
ENSDNOG00000001015	3.123554	4.527464	4.35983
ENSDNOG00000001016	0.0616135	0	0
