brain	kidney	liver
ENSCSAG00000000491	2.64993441633333	0.151868629	0.426293837
ENSCSAG00000000492	0.443444058666667	0	0
ENSCSAG00000000493	2.99451965266667	6.085596673	3.0639630975
ENSCSAG00000000494	7.792142817	3.8290645015	6.837630805
ENSCSAG00000000495	4.937825696	4.881161326	3.8526597325
ENSCSAG00000000496	1.25635715	0	0
ENSCSAG00000000497	1.377387352	0.9719592275	0.97445981
ENSCSAG00000000498	9.504252153	10.788115477	9.7737708745
ENSCSAG00000000499	5.011526447	7.621251939	4.2843361485
ENSCSAG00000000500	2.07953227466667	7.571361049	1.281444449
ENSCSAG00000000501	5.05919650866667	6.8451079735	6.129420702
ENSCSAG00000000502	0	0	0
ENSCSAG00000000503	4.20995656033333	0.5947797415	0.5930521965
ENSCSAG00000000504	3.70512278133333	0.873454752	1.380663662
ENSCSAG00000000505	3.20493292966667	0.7122924275	0.958883115
ENSCSAG00000000506	0	0	0
ENSCSAG00000000507	0.576436839	0.2828333005	0
ENSCSAG00000000508	0	0	0
ENSCSAG00000000509	0	0	0
ENSCSAG00000000510	0	0	0.084663
ENSCSAG00000000511	1.93357261166667	1.500439499	0.239716697
ENSCSAG00000000512	2.06352785133333	2.4878418895	1.726104953
ENSCSAG00000000513	0.146916033333333	0	0
ENSCSAG00000000514	0.744399484666667	0	0.14870548
ENSCSAG00000000515	0.878055333333333	0	0
ENSCSAG00000000516	4.63456269866667	5.483986631	2.025662602
ENSCSAG00000000517	0	1.006450576	2.9078831665
ENSCSAG00000000518	1.94392486066667	0.45066147	1.051443901
ENSCSAG00000000519	3.29750933	4.6886051395	3.466169285
ENSCSAG00000000520	0.905411767666667	1.398798179	0.5246934065
ENSCSAG00000000521	0.905411767666667	1.398798179	0.5246934065
ENSCSAG00000000522	1.79357432733333	4.6483081205	1.9063936125
ENSCSAG00000000523	1.623717937	3.7933677435	2.4717840975
ENSCSAG00000000524	0	0	0
