brain	heart	kidney	liver	testis
ENSPTRG00000000121	7.970714	3.5364766	4.86702322222222	2.4560772	4.27585
ENSPTRG00000000124	3.9066235	3.7063252	4.17885811111111	3.304185	4.487785
ENSPTRG00000000125	0.98594425	4.5058472	3.32709088888889	1.513383265	1.483148
ENSPTRG00000000126	4.8099515	3.4880188	4.30359611111111	3.10801245	3.414577
ENSPTRG00000000127	5.623633	4.430959	3.70263511111111	2.7726445	5.401394
ENSPTRG00000000128	0.1308617	0.373983	0.201739077777778	0.310464265	4.040814
ENSPTRG00000000130	5.4873075	1.99462334	3.98971033333333	1.908464275	7.285284
ENSPTRG00000000131	3.832302	2.8125858	4.07641644444444	3.3326255	4.493519
ENSPTRG00000000132	4.5096415	2.823241	3.84110333333333	4.33229545	4.562313
ENSPTRG00000000133	0.4702227	2.574737	2.75876955555556	1.09534511	2.96781
ENSPTRG00000000134	0.013725315	0.02252318	0.0343363233333333	0.0270625956	0.4281274
ENSPTRG00000000136	4.8536435	4.351528	4.87886844444444	4.05582755	5.565733
ENSPTRG00000000137	0.16033475	0.00540994	0	8.28467425	0
ENSPTRG00000000138	5.3816805	3.5570914	4.31841033333333	4.5427496	4.354055
ENSPTRG00000000140	5.407639	3.84907	4.43668088888889	3.6505711	6.2965
ENSPTRG00000000142	4.1066415	2.8698978	3.66092344444444	3.15752395	6.447093
ENSPTRG00000000143	0.24268835	1.0187291	0.493229277777778	0.2681206275	0.1540634
ENSPTRG00000000144	2.2070065	2.0182116	2.72553577777778	2.9861823	4.456412
ENSPTRG00000000145	2.387478	0.0217608972	0.00977703555555556	0.006717285	2.849113
ENSPTRG00000000146	6.2360725	1.36416662	2.93310766666667	3.4592511	4.746985
ENSPTRG00000000147	6.431508	3.1327352	4.78698644444444	3.86005005	4.944053
ENSPTRG00000000148	3.496118	2.5786296	3.09715911111111	4.20997935	3.930066
ENSPTRG00000000149	3.9167885	3.0651622	3.077717	3.964395	7.023699
ENSPTRG00000000150	2.089052	0.59995174	0.972755444444444	0.74664892	1.837459
ENSPTRG00000000151	2.775738	2.542083	5.23823577777778	3.54695045	4.057869
ENSPTRG00000000152	0.067213602	0.133324224	0.266941002222222	0.076736891	4.645281
ENSPTRG00000000153	2.9076015	2.3901994	3.59225633333333	2.3474716	3.344796
ENSPTRG00000000154	4.4455535	2.2310298	3.039817	2.353802205	5.778927
ENSPTRG00000000155	3.558108	2.52652192	0.151202644444444	0.0919849355	1.127627
ENSPTRG00000000156	0.37570375	5.32346266	0.0205999666666667	0.199563415	0
ENSPTRG00000000157	3.564173	3.2219624	4.30245444444444	4.36441165	6.059018
ENSPTRG00000000158	3.8099655	3.9592322	4.26902744444444	5.1352056	3.772427
ENSPTRG00000000159	5.7195795	6.9645298	5.32740144444444	5.2633904	6.3275
ENSPTRG00000000160	3.0690295	1.79844574	3.30672233333333	3.33086065	6.229699
ENSPTRG00000000161	0.170840325	0.20292185	0.408087288888889	0.240918202	2.782956
ENSPTRG00000000164	3.0989575	2.9729428	3.38010222222222	4.316815	1.92394
ENSPTRG00000000165	3.774247	2.9819752	3.32573433333333	1.890441855	3.758693
ENSPTRG00000000167	3.1320145	4.0916636	5.45367122222222	5.94689235	3.279697
ENSPTRG00000000168	0.053310105	0.135838414	0.0607532666666667	0.0357879905	0.03954468
ENSPTRG00000000170	0.0769111	0.057623206	0.0106599488888889	0.024881166	6.716703
ENSPTRG00000000182	1.303362	0.0755086	0.173995735555556	0.016282034	0.591957
ENSPTRG00000000184	2.383677	1.51951996	1.78261247777778	0.794727954	1.521462
ENSPTRG00000000185	5.305608	2.5560742	3.55592144444444	2.56239715	5.047874
ENSPTRG00000000186	4.1879765	0.443884336	3.39894955555556	1.36851781	2.0913
ENSPTRG00000000193	2.137213	1.4400452	4.34488755555556	1.70339599	3.052915
ENSPTRG00000000194	0.67203605	0.51775982	0.920484077777778	0.1848757525	6.995497
ENSPTRG00000000197	0.26944415	0.07756734	0.149041055555556	0.00988503	0.8417067
ENSPTRG00000000200	3.83185	1.5865156	3.16009911111111	2.84362355	3.917347
ENSPTRG00000000201	2.7420045	1.66892336	3.21687866666667	1.998663295	4.274902
ENSPTRG00000000202	1.533175	0.247818414	6.28533533333333	5.89642055	2.823902
ENSPTRG00000000205	6.02936	4.3824542	4.14627077777778	3.60600705	6.487916
ENSPTRG00000000206	1.7763995	1.6167574	2.36357044444444	1.81425008	1.772819
ENSPTRG00000000207	0.4572142	0.371461866	3.271301	4.16871375	0.5008367
ENSPTRG00000000208	2.326051	4.4692852	4.055472	2.7364435	2.595355
ENSPTRG00000000210	3.601996	2.7880736	3.62910077777778	2.74434105	4.845094
ENSPTRG00000000211	3.62126	2.586971	3.47825188888889	2.9039421	5.363031
ENSPTRG00000000214	0.44271865	9.0309182	1.70334663333333	1.146842035	0.7428401
ENSPTRG00000000217	0.06093859	0.279176022	7.05158166666667	0.023867462	1.201596
ENSPTRG00000000221	0.92047295	2.3088056	3.37249633333333	3.3648459	1.286656
ENSPTRG00000000223	0.59296035	0.50615202	0.990799055555556	0.893955295	0.7284552
ENSPTRG00000000224	3.8846015	1.9159496	2.18311922222222	1.72704504	3.369927
ENSPTRG00000000225	3.3323465	2.5075632	2.74041677777778	2.03768922	3.272865
ENSPTRG00000000226	3.7838245	4.7015102	5.276049	5.04526315	5.361605
ENSPTRG00000000227	0.3057707	0.639600336	0.717122188888889	0.1955049765	3.506783
ENSPTRG00000000228	3.8105825	3.3464006	4.70292055555556	4.24458865	6.424036
ENSPTRG00000000232	5.207161	3.149405	4.92394477777778	2.31077048	5.151416
ENSPTRG00000000238	2.437716	1.04569456	1.97269533333333	1.098860495	1.845855
