brain	kidney	liver	ovary	testis
ENSCPOG00000000258	2.71554833333333	5.111948	5.367881985	4.360933	4.462602
ENSCPOG00000000259	2.06146766666667	1.7917225	1.26586784428571	1.159203	0.7722387
ENSCPOG00000000260	1.68385666666667	2.712925	3.59261235214286	4.463145	3.358049
ENSCPOG00000000262	1.95294166666667	0.2286825175	1.03336538385714	3.465883	1.729679
ENSCPOG00000000265	6.56369433333333	5.25097175	3.95098543842857	5.343315	7.60465
ENSCPOG00000000267	9.22079866666667	10.40665275	9.96151077142857	3.353227	3.362147
ENSCPOG00000000268	0	1.69686175	0.408946187428571	0.4135843	9.621654
ENSCPOG00000000269	0.4347077	1.155067825	2.01530347057143	2.385799	0.09817725
ENSCPOG00000000270	2.26811633333333	0.9810655	2.72398659742857	1.367276	2.229028
ENSCPOG00000000272	4.23266933333333	3.19749125	3.36854410385714	3.843471	3.57755
ENSCPOG00000000278	4.14392866666667	4.44953175	3.90234442757143	5.500012	3.065064
ENSCPOG00000000279	4.60760033333333	1.77674725	0.536675011285714	1.471344	0.2887991
ENSCPOG00000000280	4.31180533333333	3.27281975	3.998512024	4.375262	3.584811
ENSCPOG00000000281	0	0.03252165	1.59031448385714	0.2307859	5.766752
ENSCPOG00000000282	5.813816	5.061185	4.877090662	6.879081	4.534778
ENSCPOG00000000283	5.34643233333333	5.3459845	4.785504324	6.958924	7.426374
ENSCPOG00000000284	3.92251033333333	2.9125455	4.51738903485714	3.087731	5.823304
ENSCPOG00000000285	0.993212366666667	0.80875851	9.59298042057143	0.4534565	0.842855
ENSCPOG00000000287	2.79958	2.17356325	11.2072690348571	1.58388	1.387147
ENSCPOG00000000288	3.473742	0.768351925	0.00822536285714286	0.1261063	0.2945096
ENSCPOG00000000291	3.448458	2.07871075	2.52266479242857	1.65301	5.39391
ENSCPOG00000000293	2.989052	0.5167882	0.0227290571428571	4.632513	0.6389709
ENSCPOG00000000294	0.0783121666666667	0.81144255	0.0731845535714286	2.055716	5.736664
ENSCPOG00000000295	0.542347133333333	5.4059615	0.389785688428571	0.3253933	0
