kidney	liver
ENSLACG00000000516	0	0
ENSLACG00000000517	0	0
ENSLACG00000000518	0.748355603	2.439783
ENSLACG00000000519	0	0
ENSLACG00000000520	1.525302176	4.479515
ENSLACG00000000521	3.006671442	4.793995
ENSLACG00000000522	0	0
ENSLACG00000000523	0	0
ENSLACG00000000524	0	6.792009
ENSLACG00000000525	0.866928546	0
ENSLACG00000000526	0	0
ENSLACG00000000527	0	0
ENSLACG00000000528	0	0
ENSLACG00000000529	0	0
ENSLACG00000000530	0	0
ENSLACG00000000531	0.335772498	0
ENSLACG00000000532	2.415060943	0
ENSLACG00000000533	0.610721792	3.046484
ENSLACG00000000534	1.12891364	0
ENSLACG00000000535	0.045017928	2.018374
ENSLACG00000000536	2.271951501	3.674992
ENSLACG00000000537	0	0
ENSLACG00000000538	0.366612613	0
ENSLACG00000000539	0	0
ENSLACG00000000540	0	0
ENSLACG00000000541	0	0
ENSLACG00000000542	0.898565934	4.403309
ENSLACG00000000543	0	0
ENSLACG00000000544	0	4.27849
ENSLACG00000000545	1.211005962	3.337665
ENSLACG00000000546	0	3.824381
ENSLACG00000000547	0.587010635	0
ENSLACG00000000548	0	0
ENSLACG00000000549	5.389040159	5.082379
ENSLACG00000000550	0	0
ENSLACG00000000551	5.102443979	0
ENSLACG00000000552	4.693503684	3.842898
ENSLACG00000000553	2.690747838	2.905857
ENSLACG00000000554	0.069391187	2.566038
ENSLACG00000000555	2.623653859	0
ENSLACG00000000556	0.187394042	0
ENSLACG00000000557	0.529249251	4.899606
ENSLACG00000000558	0	2.167551
ENSLACG00000000559	0.119760407	0
ENSLACG00000000560	1.289472713	1.551572
ENSLACG00000000561	0	0
ENSLACG00000000562	1.107666446	3.208556
ENSLACG00000000563	1.655544175	2.581296
ENSLACG00000000564	0.104676827	0
ENSLACG00000000565	0	0
ENSLACG00000000566	0	0
ENSLACG00000000567	0	0
ENSLACG00000000568	0.274795993	2.121088
ENSLACG00000000569	0.399446752	0
ENSLACG00000000570	0	0
ENSLACG00000000571	0	0
ENSLACG00000000572	0	0
ENSLACG00000000573	1.683139478	0
ENSLACG00000000574	0	0
ENSLACG00000000575	1.381017516	3.875121
ENSLACG00000000576	1.274023056	2.034691
ENSLACG00000000577	0	0
ENSLACG00000000578	0	0
ENSLACG00000000579	0.349419632	0
ENSLACG00000000580	1.14957805	1.537589
ENSLACG00000000581	0.081409033	0
ENSLACG00000000582	0	0
ENSLACG00000000583	0	0
ENSLACG00000000584	2.729015398	4.250764
ENSLACG00000000585	0.808361984	0
ENSLACG00000000586	0.544785072	0
ENSLACG00000000587	0.591131721	0
ENSLACG00000000588	1.762808024	0
ENSLACG00000000589	6.753952119	0
ENSLACG00000000590	2.060576621	0
ENSLACG00000000591	3.727419507	0
ENSLACG00000000592	0	0
ENSLACG00000000593	0.95772594	3.840342
ENSLACG00000000594	0.053079353	0
ENSLACG00000000595	0	0
ENSLACG00000000596	0	0
ENSLACG00000000597	0.100808415	0
