brain	liver	ovary	testis
ENSMEUG00000000295	NA	4.978789074	NA	3.678252
ENSMEUG00000000296	NA	0	NA	6.413975
ENSMEUG00000000297	NA	1.251025625	NA	0.2126876
ENSMEUG00000000298	NA	0.02747375	NA	2.151157
ENSMEUG00000000299	NA	4.154486199	NA	1.641449
ENSMEUG00000000300	NA	3.2369969765	NA	0.3362148
ENSMEUG00000000301	NA	4.614509121	NA	2.489921
ENSMEUG00000000302	NA	3.226929889	NA	3.653496
ENSMEUG00000000303	NA	7.966553521	NA	8.047064
ENSMEUG00000000304	NA	3.567939403	NA	1.871473
ENSMEUG00000000305	NA	4.7051975315	NA	5.550556
ENSMEUG00000000306	NA	0.854050226	NA	0.5226002
ENSMEUG00000000307	NA	1.8733422005	NA	5.713248
ENSMEUG00000000308	NA	0.425151359	NA	1.279644
ENSMEUG00000000309	NA	3.26961769	NA	2.780549
ENSMEUG00000000310	NA	0.16272025	NA	0.8646469
ENSMEUG00000000311	NA	0.1697597195	NA	0
ENSMEUG00000000312	NA	3.3790068805	NA	3.20766
ENSMEUG00000000313	NA	3.027878959	NA	1.887404
ENSMEUG00000000314	NA	10.837237768	NA	5.019506
ENSMEUG00000000315	NA	5.783152549	NA	7.500675
ENSMEUG00000000316	NA	0	NA	0.03996937
ENSMEUG00000000317	NA	0.2053648395	NA	0
ENSMEUG00000000318	NA	2.549222642	NA	3.906496
ENSMEUG00000000319	NA	5.9897578375	NA	7.063686
ENSMEUG00000000320	NA	1.330587124	NA	0.3199508
ENSMEUG00000000321	NA	9.2254077925	NA	7.958564
ENSMEUG00000000322	NA	2.446179169	NA	0
ENSMEUG00000000323	NA	5.8477151075	NA	2.429908
ENSMEUG00000000324	NA	0.314623748	NA	4.33943
ENSMEUG00000000325	NA	3.6221774305	NA	3.420583
ENSMEUG00000000326	NA	1.102455482	NA	2.140435
ENSMEUG00000000327	NA	0	NA	0
ENSMEUG00000000328	NA	0	NA	0
ENSMEUG00000000329	NA	0.05090745	NA	0
ENSMEUG00000000330	NA	1.571144924	NA	1.364236
ENSMEUG00000000331	NA	4.9425540625	NA	2.74217
ENSMEUG00000000332	NA	6.144538724	NA	2.919735
ENSMEUG00000000333	NA	0.314053481	NA	1.476864
ENSMEUG00000000334	NA	7.0285015295	NA	1.94002
ENSMEUG00000000335	NA	0.0721518	NA	0.3997574
ENSMEUG00000000336	NA	5.30473081	NA	5.049666
ENSMEUG00000000337	NA	5.254915293	NA	4.768507
ENSMEUG00000000338	NA	1.510322491	NA	0.4682549
ENSMEUG00000000339	NA	1.9396304535	NA	0.8932395
ENSMEUG00000000340	NA	0.5605889645	NA	1.438325
ENSMEUG00000000341	NA	0	NA	3.796577
ENSMEUG00000000342	NA	3.043453705	NA	0.03079075
ENSMEUG00000000343	NA	0.2158489675	NA	2.515894
ENSMEUG00000000344	NA	3.468926282	NA	2.337103
ENSMEUG00000000345	NA	6.3486545835	NA	0.6905869
ENSMEUG00000000346	NA	0	NA	2.626
ENSMEUG00000000347	NA	2.0898237095	NA	0
ENSMEUG00000000348	NA	6.4839048895	NA	4.167679
ENSMEUG00000000349	NA	2.3677517885	NA	4.077662
ENSMEUG00000000350	NA	2.3655106505	NA	7.614364
ENSMEUG00000000351	NA	6.292459646	NA	8.118759
ENSMEUG00000000352	NA	0.557394392	NA	0.1102165
ENSMEUG00000000353	NA	0.0901512875	NA	1.034505
ENSMEUG00000000354	NA	2.71048956	NA	0.5818786
ENSMEUG00000000355	NA	2.998110729	NA	4.712348
ENSMEUG00000000356	NA	6.160347166	NA	1.97277
ENSMEUG00000000357	NA	0.384629862	NA	3.129311
ENSMEUG00000000358	NA	1.9182461655	NA	1.567507
ENSMEUG00000000359	NA	0.0127280405	NA	2.562111
ENSMEUG00000000360	NA	6.056628118	NA	7.943036
ENSMEUG00000000361	NA	0	NA	0
ENSMEUG00000000362	NA	6.05208457	NA	7.881089
ENSMEUG00000000363	NA	4.8349337525	NA	4.198573
ENSMEUG00000000364	NA	4.514537702	NA	1.560128
ENSMEUG00000000365	NA	2.640305225	NA	2.02422
ENSMEUG00000000366	NA	3.044529088	NA	4.907352
ENSMEUG00000000367	NA	0.649974	NA	0.1496353
ENSMEUG00000000368	NA	6.4468035825	NA	3.758111
ENSMEUG00000000369	NA	2.1276607975	NA	2.887537
ENSMEUG00000000370	NA	0.4655852625	NA	1.652115
ENSMEUG00000000371	NA	3.9339536245	NA	5.653676
ENSMEUG00000000372	NA	0.040496	NA	0
ENSMEUG00000000373	NA	0.0818282315	NA	2.853954
ENSMEUG00000000374	NA	0	NA	0
ENSMEUG00000000375	NA	2.541047049	NA	4.681815
ENSMEUG00000000376	NA	0.2007049	NA	0.3946744
ENSMEUG00000000377	NA	5.112487598	NA	0.4016348
ENSMEUG00000000378	NA	3.668563472	NA	8.123268
ENSMEUG00000000379	NA	11.2907701725	NA	10.32026
ENSMEUG00000000380	NA	0.441958406	NA	0.05730691
ENSMEUG00000000381	NA	4.8424766415	NA	6.516915
ENSMEUG00000000382	NA	4.83278047	NA	5.729689
ENSMEUG00000000383	NA	3.3908703925	NA	4.078687
ENSMEUG00000000384	NA	0.725951955	NA	0
ENSMEUG00000000385	NA	0	NA	0.08252452
ENSMEUG00000000386	NA	0.1450147935	NA	0.231731
ENSMEUG00000000387	NA	0	NA	0.128555
ENSMEUG00000000388	NA	4.1379063805	NA	2.098349
ENSMEUG00000000389	NA	6.9688081525	NA	2.513809
ENSMEUG00000000390	NA	0.6448983805	NA	2.539576
ENSMEUG00000000391	NA	2.565548218	NA	2.449596
ENSMEUG00000000392	NA	1.0120845955	NA	6.902556
ENSMEUG00000000393	NA	4.1710848355	NA	4.265879
ENSMEUG00000000394	NA	0	NA	0
ENSMEUG00000000395	NA	4.2211017225	NA	1.276104
ENSMEUG00000000396	NA	2.2466891885	NA	2.555877
ENSMEUG00000000397	NA	5.787128733	NA	6.788229
ENSMEUG00000000398	NA	2.184451128	NA	1.580994
