heart	kidney	liver	testis
ENSPPAG00000001216	0	4.5802275725	4.762628	0
ENSPPAG00000001217	3.714719	0.4179302805	5.52023	2.162784
ENSPPAG00000001219	0	0	0	0
ENSPPAG00000001220	0.49575205	0.7099406525	0.96464055	2.61075
ENSPPAG00000001221	3.41141	3.583327953	4.9007525	0.235069
ENSPPAG00000001223	0.45570595	0.464156134	0.6035353	0
ENSPPAG00000001224	3.06009	2.2073600705	2.921738	2.926705
ENSPPAG00000001225	1.4225205	4.5515303365	0.4135605	1.12764
ENSPPAG00000001236	1.20373495	1.4985356125	0.7617478	4.028845
ENSPPAG00000001255	0.29459365	3.8359082235	1.2688262	7.057743
ENSPPAG00000001256	3.348854	1.1355731355	0.74382135	1.819852
ENSPPAG00000001260	4.5759135	4.9507969625	4.662202	5.6554
ENSPPAG00000001262	1.9961445	1.6961385065	1.0423236	3.653835
ENSPPAG00000001263	2.3187225	2.431955799	1.15403615	6.638061
ENSPPAG00000001265	5.8120635	3.846982767	1.178174	1.197377
ENSPPAG00000001276	1.757766	2.1450940825	1.957327	5.852303
ENSPPAG00000001282	5.184961	6.660760005	6.0534915	5.548144
ENSPPAG00000001287	2.6692525	2.6285619275	0.6674297	3.003437
ENSPPAG00000001288	2.848949	4.2578338885	4.2264135	4.209959
ENSPPAG00000001290	3.9579915	5.0737334415	4.1698855	7.448133
ENSPPAG00000001292	0.7316429	1.087058435	0.5705371	5.061478
ENSPPAG00000001294	5.4823155	4.050943966	2.774727	3.262092
ENSPPAG00000001302	3.330598	3.384291936	3.38848	4.372919
ENSPPAG00000001304	0.7730992	0.936172353	0.8854869	3.316819
ENSPPAG00000001322	0.38952585	1.029596427	0.110346975	0.6746342
ENSPPAG00000001324	2.923311	1.84108195	0.95773545	1.244954
ENSPPAG00000001326	0.072275925	0	0.11405595	7.500308
ENSPPAG00000001327	0	0	0	0
ENSPPAG00000001328	5.052546	4.51213515	2.669302	8.762967
ENSPPAG00000001343	1.4628635	2.471868354	1.985558	4.680403
ENSPPAG00000001347	6.7401885	6.139568808	6.6257905	6.841873
ENSPPAG00000001350	0	0.8874508935	0.185124	4.860307
ENSPPAG00000001351	2.732912	2.432858837	2.203164	5.185918
ENSPPAG00000001361	5.785778	4.327192882	2.6096215	5.661729
ENSPPAG00000001362	3.165401	4.172672957	3.830547	5.442274
ENSPPAG00000001370	9.1209905	10.1327235005	9.4820675	7.872126
ENSPPAG00000001371	2.623518	3.101553904	1.692898	3.957506
ENSPPAG00000001380	2.4323315	3.9577756285	3.1142195	6.711353
