brain	heart	kidney	liver
ENSMNEG00000001241	3.08323370333333	2.110641	3.120203	1.726099
ENSMNEG00000001242	5.27761014666667	1.076128	2.390365	0.1946658
ENSMNEG00000001253	2.90165354	0	0.9467698	1.706287
ENSMNEG00000001265	4.89823392333333	4.634059	4.298713	3.928036
ENSMNEG00000001268	8.15933999	9.149061	8.50945	7.611475
ENSMNEG00000001269	0.933387526666667	0.9093123	8.114461	4.995331
ENSMNEG00000001270	4.54002348333333	4.660313	2.687491	3.049687
ENSMNEG00000001301	2.76275574666667	2.23554	4.437823	2.38934
ENSMNEG00000001317	5.79055474	2.206012	3.376961	2.440841
ENSMNEG00000001318	1.25913563333333	1.569053	0.4797883	0.1500322
ENSMNEG00000001326	9.60305083666667	1.851431	4.203178	0.9364257
ENSMNEG00000001327	0	0	0	0
ENSMNEG00000001348	2.94644705	4.040331	3.816395	2.533979
ENSMNEG00000001349	4.70399677	3.179901	2.94486	1.400549
ENSMNEG00000001350	6.36794425	7.139459	6.562743	6.365871
ENSMNEG00000001352	3.90704991	4.820113	4.464649	3.570426
ENSMNEG00000001356	2.172614	2.489982	0	0
ENSMNEG00000001360	2.97557872666667	1.858152	2.558904	1.769378
ENSMNEG00000001373	4.58450430333333	0.3901625	1.464323	0.2881719
ENSMNEG00000001390	5.04296092666667	4.735491	5.993471	6.354137
ENSMNEG00000001410	7.99944012	6.127254	7.830522	6.478511
ENSMNEG00000001420	6.03843733	5.621592	6.031587	2.947389
ENSMNEG00000001427	5.71431566333333	0	0	0
ENSMNEG00000001428	1.96882013666667	0	0	0
ENSMNEG00000001429	0.437825586666667	0	0	0.1191415
ENSMNEG00000001433	2.69106632	0	0	0
ENSMNEG00000001455	0	0	0.5836654	0
ENSMNEG00000001456	0.3009162	0.13899	0	0
ENSMNEG00000001464	0.311839606666667	0	3.139502	0
ENSMNEG00000001470	2.19509123333333	0	0	0
ENSMNEG00000001485	0.566187	0	0	0
ENSMNEG00000001486	5.92754226	3.232925	4.49462	2.619826
ENSMNEG00000001488	2.66871991333333	3.28281	3.315247	1.675916
ENSMNEG00000001491	1.85295969	0.6098996	0.6044936	0.1399291
ENSMNEG00000001515	0.08369144	0	0	0
ENSMNEG00000001542	3.33895693333333	3.657377	3.877303	3.688639
ENSMNEG00000001547	2.39870573	0	0	0
ENSMNEG00000001554	0	0	0	0
ENSMNEG00000001555	3.45001110333333	0.4134349	2.589627	0.7116033
ENSMNEG00000001556	4.36336841666667	2.863629	2.385956	0
ENSMNEG00000001557	3.65809023666667	1.165597	1.227572	0.9335643
ENSMNEG00000001558	6.00697073	5.809322	5.643352	4.408626
ENSMNEG00000001559	4.64297643666667	4.675815	5.215857	3.638019
ENSMNEG00000001560	0.885981996666667	0.7120895	0	0
ENSMNEG00000001585	0.698339986666667	0	0	0
ENSMNEG00000001598	5.60634357666667	5.71468	6.772099	7.059465
ENSMNEG00000001599	0.74202002	0.5418379	0.9884164	0.1136905
ENSMNEG00000001627	0.0905577	0	0	0
ENSMNEG00000001649	3.38331221	2.550413	0	0.8913562
ENSMNEG00000001655	2.28847217333333	3.395628	3.764378	3.72358
ENSMNEG00000001678	0.16871192	0.125651	1.791343	0.6692989
ENSMNEG00000001683	2.30640032666667	0	2.206428	1.223046
ENSMNEG00000001691	0.562428833333333	0.5531422	0	0.4302724
ENSMNEG00000001722	2.32283977666667	0	0	0
ENSMNEG00000001725	5.14171948666667	3.626638	3.921436	1.26289
ENSMNEG00000001728	6.37374778666667	2.958209	3.802452	1.168937
ENSMNEG00000001751	0	0	0.3435283	0
ENSMNEG00000001753	8.24448325666667	7.938715	8.550389	8.62999
ENSMNEG00000001785	7.50352285666667	5.459982	6.48936	5.620243
ENSMNEG00000001792	4.55770139	4.669803	4.822088	4.087302
ENSMNEG00000001796	4.38726499666667	2.328098	4.394857	3.129352
ENSMNEG00000001797	0	1.759548	4.886233	2.281686
ENSMNEG00000001824	7.15532015666667	0.9815429	1.591837	0
ENSMNEG00000001828	3.24024433333333	1.21247	2.750456	1.545346
ENSMNEG00000001841	6.58478753333333	5.259288	5.953507	5.285313
ENSMNEG00000001849	0.447548493333333	0.5565432	0.8285463	1.157393
ENSMNEG00000001853	5.97297675	3.308313	3.340958	2.900662
ENSMNEG00000001867	5.45151963	4.008317	3.75096	3.183545
ENSMNEG00000001869	2.59983119	2.334668	2.875468	1.328992
ENSMNEG00000001870	6.16957038333333	6.87783	6.764748	5.593717
ENSMNEG00000001887	3.39878600666667	0.9359779	2.293927	0.6896785
ENSMNEG00000001892	0.95598079	0	3.223487	0
ENSMNEG00000001897	4.79695771666667	2.207799	2.561712	1.292699
ENSMNEG00000001920	0.360578333333333	1.095546	0	0
ENSMNEG00000001938	6.12057500666667	5.3178	4.362778	2.672622
ENSMNEG00000001940	6.07876132333333	5.103686	5.526266	3.953377
ENSMNEG00000001946	4.56582376	3.366819	4.260252	4.324472
ENSMNEG00000001949	1.21981424	0.5058635	1.923442	1.494887
ENSMNEG00000001964	2.44161101666667	1.407891	1.150657	0.09023843
ENSMNEG00000001981	0.420086853333333	0	0	0.100104
ENSMNEG00000002000	3.56055732666667	0	0	0
ENSMNEG00000002005	2.87581490333333	1.460182	1.915356	1.080521
ENSMNEG00000002006	5.87194723	0.6304852	1.871363	0.3707535
ENSMNEG00000002027	4.0213074	3.054124	4.131614	3.440334
ENSMNEG00000002035	0	0	4.612453	2.72301
ENSMNEG00000002038	5.34487508	6.09232	5.970247	4.713693
ENSMNEG00000002048	2.29457871666667	2.32386	1.409027	0.4214673
ENSMNEG00000002072	5.62584416333333	4.461378	4.667877	3.990143
ENSMNEG00000002074	2.03037001333333	1.853409	1.779865	0.8050216
ENSMNEG00000002080	4.88440336666667	7.59074	4.626224	3.449054
ENSMNEG00000002090	7.09521998	3.943283	5.050658	2.358229
ENSMNEG00000002104	8.71302819666667	7.409654	7.50655	5.420779
ENSMNEG00000002106	0.621924936666667	2.011886	1.474446	1.718381
ENSMNEG00000002108	1.74519398666667	2.75253	1.057908	2.486542
ENSMNEG00000002111	2.91601723	0	0	0
ENSMNEG00000002141	5.24631240666667	3.328044	1.559269	0.5740511
ENSMNEG00000002144	4.82583656333333	7.05615	5.312785	3.868677
ENSMNEG00000002150	5.17184861	5.72166	5.17669	3.82987
ENSMNEG00000002151	0.387654666666667	0	0.4528042	0
ENSMNEG00000002154	0.4750639	0.1456722	0.1435841	0
ENSMNEG00000002163	3.93199250333333	2.730271	3.406973	2.743064
ENSMNEG00000002165	1.01488233	1.039595	0.1569104	0.0578567
ENSMNEG00000002182	3.01612372666667	0	0.501433	0
ENSMNEG00000002185	0.183936466666667	0.2219814	0.07510317	0
ENSMNEG00000002186	9.71424323333333	9.330502	9.767332	8.156341
ENSMNEG00000002204	4.00873464	2.655969	4.495958	4.658814
ENSMNEG00000002220	0.205062166666667	6.23664	0.3384769	1.998499
ENSMNEG00000002221	4.71273340333333	4.62582	5.655349	6.022998
ENSMNEG00000002223	6.02637697333333	6.189192	6.563492	5.083989
ENSMNEG00000002226	3.94960359666667	2.423238	3.053606	2.174922
