kidney	liver
ENSMICG00000000816	4.251527	1.72223436666667
ENSMICG00000000817	4.218518	2.97300416666667
ENSMICG00000000818	2.67749	0.593517021666667
ENSMICG00000000819	4.96768	3.40857333333333
ENSMICG00000000821	6.194375	3.01633666666667
ENSMICG00000000823	0.4984561	0.0611513166666667
ENSMICG00000000824	1.076874	0.476792316666667
ENSMICG00000000829	3.559027	1.40847566666667
ENSMICG00000000830	5.048554	2.5742045
ENSMICG00000000831	5.182178	3.93696483333333
ENSMICG00000000832	6.840109	3.88947366666667
ENSMICG00000000833	0	0.0996833666666667
ENSMICG00000000835	5.869852	4.47521683333333
ENSMICG00000000837	6.217767	4.0909765
ENSMICG00000000838	5.830419	2.89775466666667
ENSMICG00000000839	6.686641	6.03728983333333
ENSMICG00000000840	5.607597	4.6252465
ENSMICG00000000841	0.5097536	0.041033965
ENSMICG00000000842	6.051993	4.15236133333333
ENSMICG00000000843	6.937286	6.04433483333333
ENSMICG00000000844	5.13459	3.38734766666667
ENSMICG00000000845	0	0.018821615
ENSMICG00000000846	4.377318	2.13099183333333
ENSMICG00000000847	3.1426	3.27787633333333
ENSMICG00000000849	7.365487	3.867648
ENSMICG00000000850	4.822267	0.668421783333333
ENSMICG00000000852	2.892859	4.26989433333333
ENSMICG00000000856	5.945549	1.45675866666667
ENSMICG00000000864	2.467778	1.4308003
ENSMICG00000000865	0	0
ENSMICG00000000867	3.427749	2.854305
ENSMICG00000000870	4.856305	2.78561433333333
ENSMICG00000000871	1.141702	1.2154297
ENSMICG00000000877	3.476511	1.48031993333333
ENSMICG00000000879	0.11904	0.01577994
ENSMICG00000000880	3.146657	0.174683366666667
ENSMICG00000000881	4.355981	6.78242216666667
ENSMICG00000000882	0.1120363	0.00314564
ENSMICG00000000886	4.95521	3.29835733333333
ENSMICG00000000889	5.373494	4.00057933333333
ENSMICG00000000892	1.313246	0.336738023333333
ENSMICG00000000894	3.52809	2.096864
ENSMICG00000000895	1.496209	0.0849836133333333
ENSMICG00000000898	5.485952	3.98708716666667
ENSMICG00000000899	4.037398	2.8095985
ENSMICG00000000900	0.9429768	1.30495291666667
ENSMICG00000000901	0.7282514	0.669264473333333
ENSMICG00000000905	4.692544	5.41542133333333
ENSMICG00000000906	4.69724	2.9190085
ENSMICG00000000907	0.3180773	0
ENSMICG00000000908	3.539668	3.79541533333333
ENSMICG00000000909	7.458556	5.77913266666667
ENSMICG00000000910	3.491795	3.54210533333333
ENSMICG00000000913	3.979806	3.9214475
ENSMICG00000000916	4.178253	3.602973
ENSMICG00000000921	5.578866	11.24218
ENSMICG00000000922	5.900321	6.044111
ENSMICG00000000923	4.091873	0.675326833333333
ENSMICG00000000926	4.635424	2.29865266666667
ENSMICG00000000927	5.336032	1.077252065
ENSMICG00000000929	1.312938	0.293741266666667
ENSMICG00000000932	4.844114	2.9256125
ENSMICG00000000933	4.514141	4.1899775
ENSMICG00000000934	0	0
ENSMICG00000000935	4.504951	2.24375316666667
ENSMICG00000000936	6.648234	3.804646
ENSMICG00000000937	3.413634	1.25609778333333
ENSMICG00000000939	4.127419	2.660257
ENSMICG00000000940	5.616955	4.85105333333333
ENSMICG00000000942	5.770752	4.77585566666667
ENSMICG00000000943	0.1942686	0
ENSMICG00000000945	5.700929	3.33715933333333
ENSMICG00000000946	4.895196	4.486574
ENSMICG00000000948	0.9214318	0.03499548
ENSMICG00000000951	5.187413	1.4291205
ENSMICG00000000954	0	0.411133616666667
ENSMICG00000000956	1.815866	0.64087846
ENSMICG00000000958	6.861218	5.0933375
ENSMICG00000000960	3.409728	1.10987813333333
ENSMICG00000000961	8.445132	8.245994
ENSMICG00000000962	2.861054	2.4856535
ENSMICG00000000964	5.527943	4.38283216666667
ENSMICG00000000965	6.559737	1.76064062166667
ENSMICG00000000966	7.024649	4.29151833333333
ENSMICG00000000969	6.884881	3.1272325
ENSMICG00000000970	5.446991	0.592415283333333
ENSMICG00000000971	6.294169	1.21647978833333
ENSMICG00000000972	4.561571	5.0577875
ENSMICG00000000973	7.217495	4.85583883333333
ENSMICG00000000974	1.522237	0.52543055
ENSMICG00000000976	5.263707	4.91775816666667
ENSMICG00000000977	6.411582	4.76857683333333
ENSMICG00000000980	5.977852	3.68088833333333
ENSMICG00000000981	3.046746	2.30665716666667
ENSMICG00000000982	5.194986	2.86418583333333
ENSMICG00000000984	0	0
ENSMICG00000000986	0	0
ENSMICG00000000987	0.2676497	0
ENSMICG00000000989	1.304336	0.244483416666667
ENSMICG00000000990	2.807806	2.5611175
ENSMICG00000000992	5.082072	2.364971
ENSMICG00000000994	5.179107	2.76052888333333
ENSMICG00000000995	2.244592	2.71900133333333
ENSMICG00000000996	6.964955	8.84404166666667
ENSMICG00000001000	0.3784262	0
ENSMICG00000001001	0.4986737	0.142851716666667
ENSMICG00000001002	3.190659	2.172572
ENSMICG00000001003	1.567075	2.46588033333333
ENSMICG00000001005	4.2551	0.927666066666667
ENSMICG00000001007	5.834853	5.70786733333333
ENSMICG00000001008	2.301191	0.404657255
ENSMICG00000001009	5.136885	2.79939483333333
ENSMICG00000001010	0.2735278	0.0453496416666667
ENSMICG00000001011	1.401417	0.539667311666667
ENSMICG00000001013	2.486053	4.00545433333333
ENSMICG00000001015	3.472763	1.56101671666667
ENSMICG00000001016	5.48102	0.748604733333333
