brain	kidney	liver	ovary	testis
ENSFDAG00000000307	2.95031	4.00330275	2.70989125	3.7492185	3.1068525
ENSFDAG00000000309	4.985482	4.98180825	5.39778	5.5982605	4.767947
ENSFDAG00000000310	1.026644	1.721515575	0.772926975	1.3146965	1.0117908
ENSFDAG00000000311	5.002194	0.1490570275	0.0497393475	0.15532049	2.710462
ENSFDAG00000000315	0	0	0	0	0
ENSFDAG00000000316	5.086106	5.2457045	5.27119925	5.105143	5.5403385
ENSFDAG00000000317	0	0	0	0.04191623	0.48725845
ENSFDAG00000000324	0.6701696	0.930774625	0.293267075	0.63847755	7.9632375
ENSFDAG00000000325	6.404669	3.8212815	3.19209375	5.2064295	6.095015
ENSFDAG00000000330	4.182104	7.3900385	7.31389775	7.291714	5.006313
ENSFDAG00000000331	2.004706	0.66092665	1.014978975	0.3373354	0.78020735
ENSFDAG00000000334	4.632187	4.63041825	3.40446175	4.811413	6.5074215
ENSFDAG00000000335	0	0	0	0	0
ENSFDAG00000000337	5.661254	6.6679735	6.14623725	5.921229	6.485244
ENSFDAG00000000338	4.063322	4.25137725	4.054182	4.5819165	4.0124675
ENSFDAG00000000340	0.5418171	0.2640827	0.069624195	0.654896	4.644323
ENSFDAG00000000342	3.580025	4.717428	2.60613625	3.1299065	2.6548125
ENSFDAG00000000343	1.715582	2.594686	2.1598965	3.467872	2.4083515
ENSFDAG00000000348	4.47782	5.1976695	4.28578225	4.2055155	5.505391
ENSFDAG00000000349	4.578733	2.61079125	3.8640325	4.172105	4.5347295
ENSFDAG00000000351	5.150312	6.13907875	4.602102	6.155274	5.5311525
ENSFDAG00000000352	0.5181796	6.9309605	6.47812225	0.3176017	1.07522375
ENSFDAG00000000353	0	0	0	0	0.0695376
ENSFDAG00000000355	3.725752	4.52141975	3.65707825	4.452842	3.394792
ENSFDAG00000000357	0.2682847	0.176298975	0	0.16475205	0.39889515
ENSFDAG00000000360	0	0.06403075	0	0	1.2231775
ENSFDAG00000000362	6.404675	4.08510775	6.22664175	3.944638	6.7832405
ENSFDAG00000000363	3.484125	0.04308496	0.45247099	0.23888365	1.27809
ENSFDAG00000000365	0.2509179	1.639092	0.0411391675	1.305555	0.82789485
ENSFDAG00000000368	0.4884811	1.52601975	0.08282291	0.05913067	0.4416094
ENSFDAG00000000371	0	0.195516375	0.089381525	0	0.7927278
ENSFDAG00000000374	3.36991	2.3011705	2.027139	3.1914125	3.1179785
ENSFDAG00000000376	2.143691	2.96357875	2.27896475	3.884157	4.932208
ENSFDAG00000000377	0	0	0	0	0
ENSFDAG00000000378	1.700094	5.98580075	0.374280325	1.20358625	1.405168
ENSFDAG00000000380	4.334947	4.8530135	4.385811	3.3555505	3.7655995
ENSFDAG00000000381	3.819873	8.962431	6.01852875	5.3514325	4.151592
ENSFDAG00000000383	7.868156	0.370659325	0.1217281875	1.244739	2.596075
ENSFDAG00000000385	1.343834	0.71721675	0.44559225	1.873669	4.483713
ENSFDAG00000000388	0.2197837	0	0	0	0
ENSFDAG00000000389	0	0	0	0	0.0721955
ENSFDAG00000000390	6.581639	8.161073	7.4542325	9.266845	8.643641
ENSFDAG00000000392	4.136823	3.756534	3.7514105	4.034415	4.260264
ENSFDAG00000000394	1.333458	0.0782928425	0.0269155225	0.3162078	2.2550865
ENSFDAG00000000397	0.6283387	1.72120025	0.2270394	0.45662255	3.270185
ENSFDAG00000000399	0	0	0	0	0.5607911
ENSFDAG00000000401	0	0	0	0	0
ENSFDAG00000000405	1.539025	5.21974375	7.4386145	2.788622	2.8511665
ENSFDAG00000000407	3.82323	3.63585375	3.1693395	4.708145	4.8893525
ENSFDAG00000000411	0	0	0	0	0
ENSFDAG00000000414	6.080933	0.432879575	0.189536875	1.05448145	0.31913615
ENSFDAG00000000417	0	3.79207575	0.323490575	1.0403347	0.400212
ENSFDAG00000000418	5.379309	6.02291275	4.99548775	7.5396475	5.752191
ENSFDAG00000000419	5.002396	0.0650393225	1.16363205	0.16912897	0.4008334
ENSFDAG00000000424	1.427343	4.63886725	8.914046	1.8351377	1.6186155
ENSFDAG00000000426	6.35614	5.8547125	5.0783855	5.8522185	6.424277
ENSFDAG00000000427	0	0	0	0	0
ENSFDAG00000000432	7.055889	5.600584	5.04752875	4.3016315	5.5774225
ENSFDAG00000000433	5.130074	0.5465267	0.27324955	1.1860775	3.304739
ENSFDAG00000000438	2.128574	1.4848015	1.555397225	1.0913079	4.6792315
ENSFDAG00000000439	0.05559897	0.0210341325	0.0173739475	0.2632708	1.06574935
ENSFDAG00000000441	1.560642	0.928792825	0.1787623675	0.69602565	2.7618815
ENSFDAG00000000442	4.796595	6.3038385	7.30193475	6.002615	4.576161
ENSFDAG00000000444	4.332751	3.653828	5.83208125	5.360071	5.7944695
ENSFDAG00000000449	0	0	0	0	0.043736035
ENSFDAG00000000451	1.142224	2.37733925	0.13995856	2.1128815	4.008055
ENSFDAG00000000452	5.969496	0.656914525	0.082532915	0.5403573	2.586928
ENSFDAG00000000454	3.553064	4.22164425	3.36453825	4.899452	4.013476
ENSFDAG00000000456	6.388125	6.72463975	6.9207455	7.268238	6.8640655
ENSFDAG00000000457	3.898044	3.2686965	2.30679975	3.5193315	3.464377
ENSFDAG00000000460	0	2.21266375	0.589100975	0.62432255	0.13048613
ENSFDAG00000000462	3.878313	4.28529425	3.24283525	7.219972	3.8314835
ENSFDAG00000000468	3.107961	2.3168565	1.75367175	2.7746345	2.2162855
ENSFDAG00000000470	0.9202361	2.14489675	2.0072695	0.5164289	1.646743
ENSFDAG00000000471	0	0.10450485	0.452778	0	0.2587734
ENSFDAG00000000475	1.798644	1.044655175	0.977855	0.63248095	0.8950247
ENSFDAG00000000477	0	0	0	0	0.038604475
ENSFDAG00000000480	7.43208	6.56000975	4.66042775	5.5154155	5.7068415
ENSFDAG00000000482	0	0.056828375	0.05504385	0.16880125	4.46526
ENSFDAG00000000485	3.689679	5.0619605	3.65463225	4.4918885	5.4952265
ENSFDAG00000000488	0	0	0	0	0.15579765
ENSFDAG00000000491	0	0	0.061881025	0	0.741985
ENSFDAG00000000492	4.503209	4.665232	4.615022	5.0871455	4.525794
ENSFDAG00000000494	5.577251	3.33707375	0.825803175	2.3972785	6.790883
ENSFDAG00000000498	5.164457	4.28794075	4.032596	2.73537	3.5033875
ENSFDAG00000000499	3.741916	5.55643225	4.1471305	3.54081	2.9342735
ENSFDAG00000000500	0.04022096	1.15979345	0.3654247	0.25652315	4.5441385
ENSFDAG00000000501	5.270981	5.811913	3.98717925	4.101202	4.380442
ENSFDAG00000000503	3.178297	3.724699	1.42495775	2.9655025	3.576889
ENSFDAG00000000504	3.229051	3.05188175	2.0080565	2.885218	1.8834885
ENSFDAG00000000506	3.790519	6.6069835	6.17095275	6.2184945	4.26165
ENSFDAG00000000511	6.200238	10.21287875	6.49627025	7.6395025	6.886301
ENSFDAG00000000512	5.261136	2.33668425	0.56446215	3.2785595	3.4784785
ENSFDAG00000000514	4.301317	0.402984975	0.163980575	1.396327	1.953385
ENSFDAG00000000515	0	0	0.205022075	0.25064365	0.1567094
ENSFDAG00000000516	2.853848	3.203173	0.7102248	1.967804	3.9026035
ENSFDAG00000000517	3.299304	3.32989775	3.16382725	3.6790375	4.5204645
ENSFDAG00000000518	0.3441615	0.269435675	0.21591225	0.6095378	0.89041185
ENSFDAG00000000521	1.997007	2.96033625	3.6165665	3.627953	2.4713715
ENSFDAG00000000522	4.084753	4.2495085	3.97696525	4.3808495	5.148453
ENSFDAG00000000525	4.618109	0.02562681	0.0204386575	0.08720537	0.46196715
ENSFDAG00000000528	3.343979	3.21931725	2.4695845	2.407334	3.254314
ENSFDAG00000000529	8.049414	2.547404	0.17593354	2.46218	2.4111145
ENSFDAG00000000530	3.359225	6.4047265	0.29644475	1.3378936	0.4023876
ENSFDAG00000000532	2.114274	2.85165575	0.52054905	2.4270735	1.6552315
ENSFDAG00000000535	0	0	0	0	0
ENSFDAG00000000538	2.008799	1.85449325	0.6301677	1.451105	3.9139465
ENSFDAG00000000540	6.062392	6.75598075	6.61602775	7.4086825	6.85624
ENSFDAG00000000543	1.26414	2.66254575	1.380129025	4.0646555	2.0023775
ENSFDAG00000000544	4.729977	3.717543	3.10135125	3.815703	5.8184225
ENSFDAG00000000547	6.225925	2.49487175	0.355304625	1.64923085	4.403977
ENSFDAG00000000548	0.6301147	0.856580725	1.2008945	1.877026	1.6054485
ENSFDAG00000000551	3.396925	1.27483175	0.15746825	1.343206	2.367574
ENSFDAG00000000552	5.704828	6.633603	6.19157675	6.6178665	6.7248725
ENSFDAG00000000554	5.70059	4.813829	3.8121495	5.6264355	5.3914275
ENSFDAG00000000555	1.549245	0.930652975	0.58546195	2.0003655	5.3554495
ENSFDAG00000000561	4.941566	4.54362725	3.5378445	5.2004255	4.3193805
ENSFDAG00000000564	0	0	0	0.3841378	0.28679485
ENSFDAG00000000565	5.847476	7.01845	6.182205	8.2394525	7.0766595
ENSFDAG00000000569	6.936744	7.37137975	6.16189875	7.165662	7.4952665
ENSFDAG00000000570	0	0	0	0	0
ENSFDAG00000000574	4.289753	3.8300685	1.189788325	5.5075605	5.2080525
ENSFDAG00000000576	4.353436	6.898527	6.7251595	7.248022	6.3508155
ENSFDAG00000000579	5.981481	6.654716	4.3680125	3.7637695	4.4705635
ENSFDAG00000000583	5.723201	2.44848475	1.485166	3.7150495	3.795698
ENSFDAG00000000584	6.698732	4.66741175	4.349989	5.335391	7.2274115
ENSFDAG00000000587	0	1.4138355	0.372056925	0.2746453	0.2080118
ENSFDAG00000000589	0.622638	0.381545375	0.3618915	0.64895085	0.83266775
ENSFDAG00000000590	0	0	0	0	0.1532606
ENSFDAG00000000592	3.279792	0.08601057	0	0.12778965	0.045029355
ENSFDAG00000000594	2.533085	2.7133085	1.37980775	4.7718775	3.25114
ENSFDAG00000000596	0	1.84287625	3.13980025	1.413429	0.10943645
ENSFDAG00000000598	8.140692	7.0853395	6.2039055	6.4371255	7.847764
ENSFDAG00000000599	4.075173	3.398448	3.8651795	3.72527	5.5467915
ENSFDAG00000000600	0.1420762	0.030827925	0.10652679	0	0.239893
ENSFDAG00000000602	0	1.007335825	0.5309179	0.7893163	0.6745755
ENSFDAG00000000604	3.853378	3.87934925	2.96225625	4.2862455	4.475525
ENSFDAG00000000606	2.583558	7.28213125	5.90428275	1.5856415	2.171373
ENSFDAG00000000608	0	0	0	0	0
ENSFDAG00000000610	6.0924	6.781392	5.26085575	6.017075	6.667662
ENSFDAG00000000611	4.908659	3.8656325	3.301193	4.397598	4.646782
ENSFDAG00000000612	0	0	0	0	0
ENSFDAG00000000613	4.44447	4.31282525	3.08055325	4.157647	2.1362585
ENSFDAG00000000616	0	0	0.3001075	0.15945805	0.45665625
ENSFDAG00000000617	4.201555	3.2462465	2.7143815	3.7850125	3.7136085
ENSFDAG00000000619	3.045843	3.53537625	3.0186175	3.9679545	3.491365
ENSFDAG00000000624	0	0	0	0	0
ENSFDAG00000000627	0.2509628	0.0563776375	0.021570635	0.244463155	2.238498
ENSFDAG00000000628	1.786914	5.1991745	6.21944225	1.6280125	4.0761855
ENSFDAG00000000629	0	0	0	0	0
ENSFDAG00000000630	1.586962	3.891783	2.94652425	4.1140305	4.2051245
ENSFDAG00000000632	0.2744561	1.0047415	0.04638862579464	0.78520725	0.8658636
ENSFDAG00000000633	4.742287	8.84955225	7.07430025	6.9665375	5.309026
ENSFDAG00000000635	5.909972	4.08357075	4.02895725	5.10817	3.6332595
ENSFDAG00000000637	5.693359	5.853975	4.80640025	6.0302935	4.9984755
ENSFDAG00000000638	2.278829	3.231833	2.82374525	3.7778735	2.021883
ENSFDAG00000000640	6.172347	7.4390545	5.74118175	6.867701	7.850377
ENSFDAG00000000641	0	0	0	0	0
ENSFDAG00000000644	0	0	0	0.29513745	0.137858005
ENSFDAG00000000645	5.622611	6.68612275	6.377672	7.116359	7.0528055
ENSFDAG00000000649	0	0	0.566854	0.5104165	0
ENSFDAG00000000650	0	0	0	0	0.3990334
ENSFDAG00000000652	5.293286	4.4075935	4.584677	5.206991	3.9759785
ENSFDAG00000000653	1.479272	3.2840895	2.540886	4.252944	2.502034
