brain	kidney	liver	testis
ENSPMAG00000000121	4.74207125963636	2.79729966666667	1.90623312	3.641188
ENSPMAG00000000122	2.85466780645455	3.59266533333333	2.487362	7.392918
ENSPMAG00000000123	4.68019487718182	1.86857866666667	1.6424288	2.904702
ENSPMAG00000000124	7.09335853190909	7.96395966666667	4.8494467	5.943598
ENSPMAG00000000125	3.78799729645455	1.92161533333333	1.2114548	2.106117
ENSPMAG00000000126	3.35519288663636	4.64668	3.5142036	4.536053
ENSPMAG00000000127	2.50336984690909	2.32631266666667	1.5807876	0.9823413
ENSPMAG00000000128	6.102284798	7.16242233333333	5.677791	5.477137
ENSPMAG00000000129	2.92805543981818	1.29588	3.05202658	0
ENSPMAG00000000130	6.37095558545455	6.78201033333333	4.183395	7.005074
ENSPMAG00000000131	4.48702783663636	5.33932466666667	3.5667828	4.48106
ENSPMAG00000000132	1.89328897627273	0.340639166666667	0.65864682	2.11917
ENSPMAG00000000133	1.01533165463636	4.65687833333333	1.0091811	0.8462887
ENSPMAG00000000134	0.966035445818182	0.0525505666666667	0	0
ENSPMAG00000000135	0.748706812181818	0.70033	0.17724462	5.4939
ENSPMAG00000000136	4.88188028945455	6.644187	5.2609122	3.686254
ENSPMAG00000000137	4.12999701318182	6.21613	5.0731226	3.167835
ENSPMAG00000000138	3.46629264972727	1.1276604	3.4124695	10.89819
ENSPMAG00000000139	3.63455446518182	3.45483733333333	2.91781	7.4206
ENSPMAG00000000140	2.89772717427273	3.26460433333333	4.6309648	0.4970911
ENSPMAG00000000141	5.294551351	4.96754466666667	4.8162176	4.474254
ENSPMAG00000000142	4.09665843936364	4.959258	2.5289434	2.977589
ENSPMAG00000000143	1.43476645154545	0.916661466666667	1.21154448	1.363771
ENSPMAG00000000144	8.63615278390909	5.46000733333333	3.88549152	8.382572
ENSPMAG00000000145	2.19336231018182	1.940848	2.8573982	0.8732258
ENSPMAG00000000146	4.50974015436364	7.13364966666667	5.4546864	8.315752
ENSPMAG00000000147	3.06856674918182	2.69576866666667	2.0417618	2.133734
ENSPMAG00000000148	1.614861338	0.367581266666667	0.0957397	0
ENSPMAG00000000149	1.53882078572727	0	0	0
ENSPMAG00000000150	0.85066687	0	1.9926878	2.066141
ENSPMAG00000000151	2.68745493945455	0.0725885	0.11273922	3.403314
ENSPMAG00000000152	3.65656961354545	5.36038566666667	3.5774184	5.681865
ENSPMAG00000000153	0.956894282727273	0.429342666666667	0.347866	1.354695
ENSPMAG00000000154	1.36667079627273	2.47754066666667	2.5371088	1.586289
ENSPMAG00000000155	1.19701216545455	0.483551633333333	0.20401864	4.82607
ENSPMAG00000000156	2.30354523718182	3.438238	1.8970886	2.561878
ENSPMAG00000000157	2.80334196863636	4.31276166666667	2.690962	4.384554
ENSPMAG00000000158	6.71007072718182	7.169858	5.21782888	7.872342
ENSPMAG00000000159	3.71781412118182	5.08296966666667	4.0790944	6.089002
ENSPMAG00000000160	4.78088409145455	4.490666	2.247249	5.154369
ENSPMAG00000000161	2.37253714318182	2.918434	1.8547296	1.255477
ENSPMAG00000000162	7.59785906618182	5.94878666666667	4.6304182	7.717512
ENSPMAG00000000163	4.86942759154545	4.12280466666667	2.5054496	6.858839
ENSPMAG00000000164	3.42724449909091	4.18878633333333	2.2781092	3.519718
ENSPMAG00000000165	6.77841422836364	4.84461	3.871349	3.231846
ENSPMAG00000000166	5.70014048236364	6.705283	4.3145648	7.051872
ENSPMAG00000000167	3.92172859818182	1.293441	0.5997226	0
ENSPMAG00000000168	3.52398050527273	1.87883193333333	1.71553638	1.307312
ENSPMAG00000000169	1.30720924454545	2.94003133333333	1.6313224	2.44727
ENSPMAG00000000170	1.22804535836364	2.94992233333333	1.6301632	1.743821
ENSPMAG00000000171	6.15137010581818	2.08798833333333	3.0484436	4.095146
ENSPMAG00000000172	6.69330498027273	6.87110466666667	5.396079	8.664102
ENSPMAG00000000173	4.18375226181818	3.77396133333333	2.61398558	6.642447
ENSPMAG00000000174	4.60092056881818	5.898081	4.387455	5.437268
ENSPMAG00000000175	0.429292955727273	0.1303997	0.073582	0.6480705
ENSPMAG00000000176	1.08217354863636	0	0	0
ENSPMAG00000000177	3.73706106345455	4.18787666666667	3.2571522	4.379073
ENSPMAG00000000178	5.16497121781818	6.93735133333333	4.0297436	2.27388
ENSPMAG00000000179	4.15307065127273	4.47145933333333	2.614795	3.694646
ENSPMAG00000000180	2.99130352781818	2.40992866666667	3.4512244	2.623022
ENSPMAG00000000181	1.42590145745455	0.908452433333333	0.96569814	0.3919909
ENSPMAG00000000182	2.228768704	2.25610233333333	1.5199992	0.9790295
ENSPMAG00000000183	2.78552406854545	4.09352633333333	2.8188416	3.156211
ENSPMAG00000000184	1.07157656327273	0	3.8804354	2.118433
ENSPMAG00000000185	4.74869393872727	5.133852	4.1507024	2.275996
ENSPMAG00000000186	4.37307949663636	5.66106566666667	3.7388118	6.734479
ENSPMAG00000000187	4.04038007754545	0	0	0
ENSPMAG00000000188	4.17998629063636	4.73744766666667	5.27318732	4.994267
ENSPMAG00000000189	5.65812461972727	3.67121166666667	4.31391132	4.578607
ENSPMAG00000000190	3.671494786	2.451427	2.2594554	0.9223615
ENSPMAG00000000191	6.86714219709091	4.73614266666667	3.9079294	4.485865
ENSPMAG00000000192	10.270380753	9.163873	7.6927672	7.666011
ENSPMAG00000000193	11.3111502690909	9.78608	9.3671087	10.10271
