brain	testis
ENSTGUG00000000246	2.29918288888889	0.8476231
ENSTGUG00000000247	4.14263933333333	4.40940166666667
ENSTGUG00000000248	0.320071622222222	0.851872633333333
ENSTGUG00000000249	0.0113545133333333	0.491362233333333
ENSTGUG00000000250	4.05969588888889	5.23382066666667
ENSTGUG00000000251	0.484393666666667	0.4279947
ENSTGUG00000000252	5.60093366666667	3.63620733333333
ENSTGUG00000000253	0.610083555555556	0.833888
ENSTGUG00000000254	0.0610468544444445	0.161130066666667
ENSTGUG00000000255	4.06388466666667	2.60219733333333
ENSTGUG00000000256	0.06260168	0
ENSTGUG00000000257	5.56269511111111	8.085331
ENSTGUG00000000258	6.85580411111111	7.52568133333333
ENSTGUG00000000259	2.64356055555556	2.53385966666667
ENSTGUG00000000260	1.33795696666667	7.344264
ENSTGUG00000000261	4.51635155555556	0.498629966666667
ENSTGUG00000000262	6.67898033333333	7.08237566666667
ENSTGUG00000000263	2.69449822222222	1.91717466666667
ENSTGUG00000000264	3.41769066666667	2.80226266666667
ENSTGUG00000000265	6.31643688888889	9.12462833333333
ENSTGUG00000000266	0.477448488888889	0.183219633333333
ENSTGUG00000000267	0.0219010333333333	0.1855283
ENSTGUG00000000268	5.25642433333333	4.832691
ENSTGUG00000000269	5.81897233333333	1.55929666666667
ENSTGUG00000000270	3.01466188888889	5.858003
ENSTGUG00000000271	3.31924966666667	0
ENSTGUG00000000272	5.42174288888889	2.36436833333333
ENSTGUG00000000273	6.81949955555556	6.823354
ENSTGUG00000000274	6.80523222222222	5.89763333333333
ENSTGUG00000000275	6.23846188888889	7.33440866666667
ENSTGUG00000000276	1.87095866666667	2.32628633333333
ENSTGUG00000000277	1.65303788888889	1.87263533333333
ENSTGUG00000000278	5.27483777777778	4.93017333333333
ENSTGUG00000000279	3.88869944444444	5.67570066666667
ENSTGUG00000000280	3.18374266666667	0.569753133333333
ENSTGUG00000000281	5.28311166666667	6.09883733333333
ENSTGUG00000000282	1.43928543333333	2.48519433333333
ENSTGUG00000000283	1.66999803333333	2.17221766666667
ENSTGUG00000000284	5.14442222222222	4.66290366666667
ENSTGUG00000000285	0.586022544444444	1.78104733333333
ENSTGUG00000000286	4.375797	0.0615698
ENSTGUG00000000287	2.917656	2.40142733333333
ENSTGUG00000000288	3.22455733333333	3.10622566666667
ENSTGUG00000000289	2.06571111111111	2.695038
ENSTGUG00000000290	0.609023455555556	0
ENSTGUG00000000291	0	0
ENSTGUG00000000292	5.23983577777778	5.29963333333333
ENSTGUG00000000293	1.33535462222222	0.9601834
ENSTGUG00000000294	3.46380455555556	4.38985033333333
ENSTGUG00000000295	1.30059644444444	5.84007833333333
ENSTGUG00000000296	1.79981211111111	0.6054893
ENSTGUG00000000297	1.66277377777778	3.70489433333333
ENSTGUG00000000298	4.257639	1.89149466666667
ENSTGUG00000000299	5.20904666666667	3.52337966666667
ENSTGUG00000000300	3.67756411111111	3.25087466666667
ENSTGUG00000000301	8.45374388888889	7.424548
ENSTGUG00000000302	5.30952433333333	6.44989666666667
ENSTGUG00000000303	5.29546133333333	8.31257133333333
ENSTGUG00000000304	0.390884177777778	0.560540166666667
ENSTGUG00000000305	6.18693577777778	5.92945733333333
ENSTGUG00000000306	3.44890322222222	0.145144866666667
ENSTGUG00000000307	5.9439	2.615929
ENSTGUG00000000308	6.07631144444444	6.98625566666667
ENSTGUG00000000309	8.86144977777778	10.076676
ENSTGUG00000000310	0.333371722222222	0.730814733333333
ENSTGUG00000000311	2.41469177777778	7.08883666666667
ENSTGUG00000000312	11.7118333333333	10.2534733333333
ENSTGUG00000000313	7.42183888888889	8.976484
ENSTGUG00000000314	0.599140433333333	0.5575795
ENSTGUG00000000315	5.299566	4.241535
ENSTGUG00000000316	5.31278044444444	6.315253
ENSTGUG00000000317	0	0
ENSTGUG00000000319	1.59422232222222	1.0010862
ENSTGUG00000000320	6.27433644444444	2.47165733333333
ENSTGUG00000000321	0.8578486	0.478674233333333
ENSTGUG00000000322	1.86433877777778	1.48266713333333
ENSTGUG00000000323	4.90975577777778	0.903670166666667
ENSTGUG00000000324	6.31643955555556	7.913991
ENSTGUG00000000325	0	3.291305
ENSTGUG00000000326	3.61470322222222	2.39963766666667
ENSTGUG00000000327	0.0270019444444444	0.488616633333333
ENSTGUG00000000328	6.26541555555556	5.387903
ENSTGUG00000000329	1.89400644444444	2.07241466666667
ENSTGUG00000000330	0.132836312222222	3.02901433333333
ENSTGUG00000000331	5.501543	4.97133133333333
ENSTGUG00000000332	0.0904874377777778	3.992674
ENSTGUG00000000333	10.1453606666667	5.74389833333333
ENSTGUG00000000334	1.614728	2.45117166666667
ENSTGUG00000000335	4.44327022222222	5.28732733333333
ENSTGUG00000000336	0.247131266666667	0.4346655
ENSTGUG00000000337	1.12319666666667	2.99896166666667
ENSTGUG00000000339	2.03506788888889	5.14552633333333
ENSTGUG00000000340	3.91731244444444	0.786207516666667
ENSTGUG00000000341	7.58922	8.16179066666667
ENSTGUG00000000342	4.89367788888889	4.92890933333333
ENSTGUG00000000343	1.82603477777778	3.467658
ENSTGUG00000000344	3.49276811111111	1.99448933333333
ENSTGUG00000000345	0.884894233333333	5.96283666666667
ENSTGUG00000000346	0.968879055555556	1.436648
ENSTGUG00000000347	3.887193	2.29140766666667
ENSTGUG00000000348	0.0232462555555556	0.106145733333333
ENSTGUG00000000349	0.641616544444444	0.1158331
ENSTGUG00000000350	0	0.372622333333333
ENSTGUG00000000351	5.14189455555556	3.41831566666667
ENSTGUG00000000352	5.53347488888889	6.01529433333333
ENSTGUG00000000353	2.67254855555556	1.27195693333333
ENSTGUG00000000354	4.471917	5.74927566666667
ENSTGUG00000000355	0.209744522222222	0.0492759
ENSTGUG00000000356	0	0.211142466666667
ENSTGUG00000000357	5.01384466666667	5.63726333333333
ENSTGUG00000000358	0.0202231444444444	0.445158933333333
ENSTGUG00000000359	5.35865944444444	0.469836766666667
ENSTGUG00000000360	4.01160033333333	3.706161
ENSTGUG00000000361	6.91551966666667	3.67657566666667
ENSTGUG00000000362	5.23216233333333	4.65234566666667
ENSTGUG00000000363	5.00803633333333	5.90509433333333
ENSTGUG00000000364	6.87111144444444	5.82253433333333
ENSTGUG00000000365	0.842813733333333	0.451506866666667
ENSTGUG00000000366	3.88264288888889	2.466342
ENSTGUG00000000368	7.42742777777778	8.250733
ENSTGUG00000000369	4.15625122222222	6.45417533333333
ENSTGUG00000000370	5.55594922222222	4.15029366666667
ENSTGUG00000000371	0	0.111464033333333
ENSTGUG00000000372	3.75624288888889	1.51152766666667
ENSTGUG00000000373	2.52389644444444	0.999867666666667
ENSTGUG00000000374	2.92253177777778	2.94785533333333
ENSTGUG00000000375	2.73225066666667	4.519458
ENSTGUG00000000376	6.52765022222222	7.64252333333333
ENSTGUG00000000377	1.52042711111111	1.21418696666667
ENSTGUG00000000378	0.692922255555556	1.05746673333333
ENSTGUG00000000379	6.11451633333333	6.14156366666667
