brain	heart	liver
ENSMGAG00000000762	0.3746470943	0.6270189582	0.922010619357143
ENSMGAG00000000763	4.7603846982	4.8847145318	0.300948804214286
ENSMGAG00000000764	4.4520893325	3.2117321116	3.53402952042857
ENSMGAG00000000765	4.3518306921	4.1605195077	3.282479155
ENSMGAG00000000766	6.7739096372	4.4480619776	4.92505619564286
ENSMGAG00000000767	0.04182677	0.0288532207	0.0490974545714286
ENSMGAG00000000768	6.3035088121	5.5436280271	4.195691239
ENSMGAG00000000769	0.568664516	0	0
ENSMGAG00000000770	9.3870519519	7.9302583171	8.66166271992857
ENSMGAG00000000771	3.970979166	5.5645766704	3.98504059185714
ENSMGAG00000000772	0.022428381	0	0.0376344983571429
ENSMGAG00000000773	0.1173035597	0.3396773734	0.0388101805
ENSMGAG00000000775	3.6200713728	2.3895595624	1.09625775214286
ENSMGAG00000000777	5.499347136	2.5706259263	2.38825544492857
ENSMGAG00000000778	5.7412977007	5.3907358758	5.21199675242857
ENSMGAG00000000779	3.927803858	3.4868986942	2.524487712
ENSMGAG00000000780	4.0309482535	3.4015690292	3.18829164421429
ENSMGAG00000000782	6.16713506	4.2393539371	8.39704318857143
ENSMGAG00000000783	6.1002115988	0.1948150983	0.2185510665
ENSMGAG00000000784	3.2445116302	0	0.017692585
ENSMGAG00000000785	2.6704221109	1.244914582	1.45331640357143
ENSMGAG00000000786	1.2122632737	1.6610596287	0.494626799
ENSMGAG00000000787	1.4913531271	3.5178287449	6.81853566692857
ENSMGAG00000000789	4.0998714167	5.2241572865	3.8426155085
ENSMGAG00000000790	4.7177167043	4.6563196082	4.63542906685714
ENSMGAG00000000791	0.4371852422	2.1747854266	0.0527112552142857
ENSMGAG00000000792	7.8214978603	2.8466258415	1.21782435128571
ENSMGAG00000000793	0.132441708	0.0301081957	0.0220630383571429
ENSMGAG00000000794	8.2746728879	12.044120862	1.8366703375
ENSMGAG00000000795	0.0082697	0.005127088	0
ENSMGAG00000000797	0.6913214378	0.3754229166	0.831770812571429
ENSMGAG00000000798	4.3371456906	2.9398049198	2.28065086192857
ENSMGAG00000000799	2.9167676547	3.6264832196	3.27262957792857
ENSMGAG00000000800	0.547357792	1.3718062259	0.899525245
ENSMGAG00000000801	0.0911826783	0.0474583595	0.0200467929285714
ENSMGAG00000000802	5.4751095073	4.0998347071	3.76820785271429
ENSMGAG00000000803	3.1987230637	1.6743188086	1.7294084715
ENSMGAG00000000805	3.9174827854	3.9855399365	3.78514209242857
ENSMGAG00000000806	0.380338552	3.0312154487	0.380678298357143
ENSMGAG00000000807	3.684576375	2.255370769	3.08673026135714
ENSMGAG00000000808	2.277844774	3.3222980437	2.79991633721429
ENSMGAG00000000809	0.4395433263	1.7601685934	4.31582749278571
ENSMGAG00000000810	3.3812415232	1.7125914959	1.86284366714286
ENSMGAG00000000811	0	0	3.51638397535714
ENSMGAG00000000813	2.9147410764	2.0808874627	1.83674299007143
ENSMGAG00000000814	3.9340533895	3.1135468329	2.35913827464286
ENSMGAG00000000815	0	0	1.55517645321429
ENSMGAG00000000816	0.0971358547	0.0177343788	0.101849644214286
ENSMGAG00000000818	4.5491762637	5.6280217168	3.75272066378571
ENSMGAG00000000819	7.1688766881	5.8757920882	7.25868172242857
ENSMGAG00000000820	0.4949863676	0.3040987214	0.652694713857143
ENSMGAG00000000821	0.6657019713	1.2592166447	0.863032176714286
ENSMGAG00000000822	1.3678511374	1.2031771859	2.63357543014286
ENSMGAG00000000823	13.1921963322	0.5323135253	0.187674863571429
ENSMGAG00000000824	3.2762088464	0.0772732826	0.0287314709285714
ENSMGAG00000000825	1.3067715629	0.1403057957	2.10075772407143
ENSMGAG00000000826	2.9116982649	1.1312044124	1.33623658885714
ENSMGAG00000000827	2.3111531464	0.2921026593	0.139666314571429
ENSMGAG00000000828	8.2468303767	6.5164663356	7.36476892692857
ENSMGAG00000000829	3.9533563785	2.8822606637	1.85204570364286
ENSMGAG00000000830	4.4749282589	3.1851099428	3.22502965578571
ENSMGAG00000000831	3.7728472117	3.7664275556	3.16161485807143
ENSMGAG00000000832	8.122686456	4.7551141469	4.48939596357143
ENSMGAG00000000833	2.3285298855	2.4243522601	7.82453219378571
ENSMGAG00000000834	5.4186848827	3.7176026386	4.4271504665
ENSMGAG00000000835	1.8891741141	1.4631691473	0.472050775071429
ENSMGAG00000000836	6.8119827909	5.1029958636	6.00172900242857
ENSMGAG00000000837	3.9412471997	3.0990375919	2.59359572178571
ENSMGAG00000000838	3.8817473094	2.4375246952	3.66329275671429
ENSMGAG00000000839	4.9226116192	3.6807892064	4.26122854135714
ENSMGAG00000000840	4.6772731527	3.236005169	2.54032377242857
ENSMGAG00000000841	0.4484482825	0.2653910846	9.4452663415
ENSMGAG00000000842	4.552235045	3.6978274557	1.24556992564286
ENSMGAG00000000843	7.2076356458	5.507356974	5.10649309292857
ENSMGAG00000000844	6.094459284	3.2702237961	3.57443965292857
ENSMGAG00000000845	5.1275687631	4.144070319	3.28522954271429
ENSMGAG00000000846	1.8534244232	1.896381751	1.38349326207143
ENSMGAG00000000847	5.4337815231	3.632888578	4.00884223907143
