brain	kidney	liver
ENSEEUG00000000390	7.3326915	6.4975125	5.3729805
ENSEEUG00000000391	2.268533	5.477457	2.1206525
ENSEEUG00000000392	0	5.0579505	2.1955445
ENSEEUG00000000393	5.949844	8.9908055	0.3486814
ENSEEUG00000000394	2.3187925	4.8020945	2.9196225
ENSEEUG00000000395	0	0	0
ENSEEUG00000000396	8.5167815	9.0463995	8.0780885
ENSEEUG00000000397	6.5694465	5.569977	4.65702
ENSEEUG00000000398	4.926037	6.2637585	6.4372515
ENSEEUG00000000399	0	0	0
ENSEEUG00000000400	4.6719195	5.782293	4.850435
ENSEEUG00000000401	0	0	0
ENSEEUG00000000402	4.1639085	3.5961045	2.675394
ENSEEUG00000000403	4.6731025	5.5729705	4.915094
ENSEEUG00000000404	4.4117965	2.3727	3.7669675
ENSEEUG00000000405	4.0268165	3.874447	2.7923355
ENSEEUG00000000406	1.295627	0.57190455	0.23170725
ENSEEUG00000000407	6.1600145	4.645427	3.157209
ENSEEUG00000000408	3.993224	2.548549	2.015401
ENSEEUG00000000409	2.1758765	1.3935335	0.41156595
ENSEEUG00000000410	7.44151	6.73649	5.7919005
ENSEEUG00000000411	5.9574605	5.6159075	3.6909315
ENSEEUG00000000412	1.7847185	7.546016	0.8395531
ENSEEUG00000000413	3.879448	4.180614	3.324418
ENSEEUG00000000414	5.216664	5.2396555	4.2930865
ENSEEUG00000000415	3.7457365	4.261785	3.069969
ENSEEUG00000000416	2.4459705	0.06020815	0.03790123
ENSEEUG00000000417	7.108918	7.4433545	5.9293565
ENSEEUG00000000418	0.4504784	1.352546	0.755258
ENSEEUG00000000419	2.202511	3.020627	1.06118985
ENSEEUG00000000420	5.143511	4.817655	2.949051
ENSEEUG00000000421	0	0.17535555	0
ENSEEUG00000000422	4.868724	4.6394365	3.3083235
ENSEEUG00000000423	6.0523865	5.2352755	4.3515715
ENSEEUG00000000424	1.2934375	0.95481065	0.10247915
ENSEEUG00000000425	4.674631	3.817454	2.6583855
ENSEEUG00000000426	0	0.01090778	0
ENSEEUG00000000427	2.782763	3.2630755	1.6192515
ENSEEUG00000000428	0.5090855	1.117843	0.21678795
ENSEEUG00000000429	5.714463	6.2874105	4.8323395
ENSEEUG00000000430	6.404668	7.4336465	8.244005
ENSEEUG00000000431	2.9822625	5.772189	6.59276
ENSEEUG00000000432	5.504363	5.0700885	4.1148035
ENSEEUG00000000433	4.355796	4.5321725	3.4929615
ENSEEUG00000000434	4.82202	4.633826	2.562362
ENSEEUG00000000435	5.3630065	3.531516	2.0870715
ENSEEUG00000000436	10.83921	9.339132	8.068636
ENSEEUG00000000437	2.693384	1.6890645	0
ENSEEUG00000000438	3.274258	1.815719	1.22690405
ENSEEUG00000000439	2.632144	0.7596732	0
ENSEEUG00000000440	6.4480625	7.060099	5.6219555
ENSEEUG00000000441	5.829108	4.202973	3.198139
ENSEEUG00000000442	3.861846	2.881199	1.31554
ENSEEUG00000000443	4.790676	4.3373875	2.7502445
ENSEEUG00000000444	9.0855815	8.5801915	7.4599965
ENSEEUG00000000445	3.964364	3.5726955	2.8968985
ENSEEUG00000000446	7.7361365	2.371924	0
ENSEEUG00000000447	3.640521	3.726529	3.076239
ENSEEUG00000000448	2.8486415	3.6405795	2.366863
ENSEEUG00000000449	3.241868	2.847961	0.85160605
ENSEEUG00000000450	0	0	0
ENSEEUG00000000451	5.7305465	5.211248	4.7010015
ENSEEUG00000000452	0.39982175	0	0
ENSEEUG00000000453	6.540574	6.1478745	3.6260675
ENSEEUG00000000454	3.7844805	2.577111	0
ENSEEUG00000000455	5.0991505	5.0231445	2.5195025
ENSEEUG00000000456	4.7823385	4.384885	3.1579945
ENSEEUG00000000457	0	0	0
ENSEEUG00000000458	3.766315	4.0169675	2.273758
ENSEEUG00000000459	3.755303	2.729464	0.85058235
ENSEEUG00000000460	1.834468	0	0
ENSEEUG00000000461	5.3751765	5.0345555	4.0524425
ENSEEUG00000000462	1.9505645	1.6818465	0.8987654
ENSEEUG00000000463	6.3563325	7.586338	6.063596
ENSEEUG00000000464	5.2063655	4.770785	3.485221
ENSEEUG00000000465	3.73831	2.155444	2.5070725
ENSEEUG00000000466	0	0	0
ENSEEUG00000000467	5.115096	4.3873955	0.324128
ENSEEUG00000000468	10.36459	10.769875	9.8833065
ENSEEUG00000000469	0.3045588	2.3502945	3.0999155
ENSEEUG00000000470	6.3152285	4.3112895	2.813829
ENSEEUG00000000471	4.2190695	4.4259755	3.205423
ENSEEUG00000000472	4.484549	4.520126	3.7122755
ENSEEUG00000000473	3.428188	0.6592306	0.3228107
