brain	heart	kidney	liver	testis
ENSMFAG00000000212	5.0387295	7.064632	6.9251206	5.7789274	4.412392
ENSMFAG00000000213	0.221302995	0.0602302	0.05275768	0.016741254	0.09674559
ENSMFAG00000000214	2.5394025	3.663117	1.0834343	0.019351952	2.927917
ENSMFAG00000000215	1.0772266	0.16341225	0.3044995	0.02353574	0.1285392
ENSMFAG00000000216	2.148646	2.7534255	3.5886096	2.6589172	4.610547
ENSMFAG00000000217	2.8507235	4.970936	4.7871382	0.22527144	3.083738
ENSMFAG00000000218	3.896487	3.4965595	4.3275974	3.0148384	3.387747
ENSMFAG00000000219	0	0.5186473	1.06654478	0.44419418	0
ENSMFAG00000000220	6.4224715	6.8656085	6.126866	4.993289	7.066166
ENSMFAG00000000221	6.1704805	1.821618	1.8879416	3.312483	3.987867
ENSMFAG00000000222	4.8845	5.0615685	5.4199962	4.224466	6.647614
ENSMFAG00000000223	0	0	0.12371952	0	9.335859
ENSMFAG00000000224	0.41927115	0.1608573	0.508602	0.77169128	0.9713924
ENSMFAG00000000225	5.2118905	3.947597	4.366166	1.737767	5.690896
ENSMFAG00000000226	4.082814	3.71883	5.11928	3.6622318	5.31315
ENSMFAG00000000227	2.41915	2.312161	1.66383592	3.6680156	2.070145
ENSMFAG00000000228	5.579409	0.4254011	0.21648378	0.065574596	2.010187
ENSMFAG00000000229	0.18180335	1.643106	1.38017922	0.59052156	0.4056941
ENSMFAG00000000230	6.636315	4.653979	5.5665828	4.6860952	5.078712
ENSMFAG00000000231	5.6338495	6.2494965	5.7171742	5.2519102	5.955094
ENSMFAG00000000232	2.4112575	1.6089065	1.14051284	0.49681802	2.561091
ENSMFAG00000000233	1.4937	0.18396695	0.29526862	0.29607706	1.565349
ENSMFAG00000000234	0.4021759	0.9886572	1.6450516	0.47839134	1.231138
ENSMFAG00000000235	0.3405667	1.347836	1.60298828	0.77454986	0.7654481
ENSMFAG00000000236	1.1951003	3.440025	3.1496206	2.957441	1.362057
ENSMFAG00000000237	1.4877856	2.7929945	3.4270412	1.5253723	4.790473
ENSMFAG00000000238	1.6717595	3.302956	3.0796166	1.45006802	5.484132
ENSMFAG00000000239	0.6774648	6.5632115	1.1212278	1.83273516	1.574562
ENSMFAG00000000240	7.423955	6.51798	5.1650192	4.1202424	7.620968
ENSMFAG00000000241	4.8927035	4.417973	6.2712388	5.7281024	5.131655
ENSMFAG00000000242	3.8347945	3.5061955	4.4375652	4.83262	3.869477
ENSMFAG00000000243	1.584163	2.5934355	2.3920094	0.79148266	2.147541
ENSMFAG00000000244	6.544122	5.467176	5.6856154	5.424899	6.553884
ENSMFAG00000000245	0.077646	0.1650692	0.12832998	0.03265878	0.1743425
ENSMFAG00000000246	2.964524	0.49946535	0.94438118	1.9296395	2.034541
ENSMFAG00000000247	0	0	0	0	6.679156
ENSMFAG00000000248	1.2271176	5.848834	4.0209838	3.2613598	0.859518
ENSMFAG00000000249	2.0006035	1.8477215	3.071794	2.6962134	3.251123
ENSMFAG00000000250	1.481672	0.69241195	2.2304582	1.35935478	2.599546
ENSMFAG00000000251	3.873317	5.1154035	4.5635056	3.839278	3.19287
ENSMFAG00000000252	5.43483	0.1113992	0.06014846	0.013122376	1.625747
ENSMFAG00000000253	4.506579	3.3008905	4.4304712	3.275839	5.426028
ENSMFAG00000000254	6.6840395	5.1376665	5.5100414	4.2847594	8.173882
ENSMFAG00000000255	4.139911	5.1122025	5.1938128	5.0433338	3.980239
ENSMFAG00000000256	2.810726	3.6702035	3.3370374	1.6439256	3.03215
ENSMFAG00000000257	0.30616055	0.72241405	0.97536416	0.73705594	0.8590265
ENSMFAG00000000258	4.801191	2.32195	2.6173592	1.9450768	3.048777
ENSMFAG00000000259	4.011178	4.837163	5.3630192	4.2839664	2.764469
ENSMFAG00000000260	4.7228375	5.4772825	4.7389072	3.984492	6.236137
ENSMFAG00000000261	3.2858275	3.099821	3.1965304	1.7469796	2.179761
ENSMFAG00000000262	2.749883	1.2878435	0.5402368	0.18530762	0
