brain	heart	kidney	liver	ovary
ENSSBOG00000001797	0.541583231	0.2933163	3.830448	0.215411464	0.67848211
ENSSBOG00000001798	0	0	0.04380937	0	0.3445797
ENSSBOG00000001804	0.955350749	0.4294167	3.654562	0.501891565	0
ENSSBOG00000001811	0	0	0.1131121	0	0
ENSSBOG00000001815	3.630756084	3.332261	4.468475	3.433978285	5.23350847
ENSSBOG00000001847	1.140039126	0.4886775	1.644105	1.503425066	1.97393082
ENSSBOG00000001848	3.329206136	2.369125	4.047612	2.593386999	3.92235753
ENSSBOG00000001849	4.88149822	5.917701	7.251994	5.863190156	5.22924182
ENSSBOG00000001850	2.840565553	0.3719703	2.425937	0.946063062	3.7934704
ENSSBOG00000001872	6.246409988	4.24526	5.486232	3.552401665	6.24927087
ENSSBOG00000001879	2.941748618	1.333143	2.228563	1.199556139	3.34393364
ENSSBOG00000001880	0	0	0	0	0
ENSSBOG00000001901	0.73866236	4.095975	3.75007	0.914698454	1.82681488
ENSSBOG00000001902	1.62970166	0.7787914	2.030697	0.834057467	2.56951126
ENSSBOG00000001918	5.732396475	5.767382	0.05529465	0.024378691	0.44786903
ENSSBOG00000001919	3.98712346	5.176101	5.427796	4.359899927	4.79072628
ENSSBOG00000001933	0.446784504	0	0	0.30244891	0
ENSSBOG00000001954	5.198012782	4.161859	5.356909	4.301103985	6.0110577
ENSSBOG00000001955	6.119466575	0.1088705	0.3149004	0.112864992	1.05754939
ENSSBOG00000001960	3.731244946	1.525059	3.578863	2.268325561	4.37951215
ENSSBOG00000001992	0.841738083	0.1702097	0	0.637033331	1.2826533
ENSSBOG00000002008	1.62911411	1.34855	1.217404	0	4.15719574
ENSSBOG00000002013	2.131484126	0.2183621	4.226817	1.4537446	3.30492422
ENSSBOG00000002029	2.957621202	2.134743	3.179223	0.574229419	2.6322496
ENSSBOG00000002043	3.096390057	0.3925076	5.685587	1.406906684	6.75464703
ENSSBOG00000002057	5.397690033	6.452722	6.688404	6.478394288	7.69318027
ENSSBOG00000002084	5.672626174	3.734991	4.833502	3.274822228	3.97374902
ENSSBOG00000002085	2.248856614	1.241297	2.477245	1.489069152	3.1490447
ENSSBOG00000002089	2.582873891	1.191602	2.482231	1.171466899	3.26846284
