brain	heart	kidney	liver	testis
MGP_CAROLIEiJ_G0002207	0	1.580888	0	0.1954934	0
MGP_CAROLIEiJ_G0002208	0	0.9375675	0	0.255222183333333	0
MGP_CAROLIEiJ_G0002209	0	0.34979935	0	0	0
MGP_CAROLIEiJ_G0002210	0	0	0	0	0
MGP_CAROLIEiJ_G0002211	0	0	0	0.07437445	0.7463162
MGP_CAROLIEiJ_G0002212	0	0	0	0	0
MGP_CAROLIEiJ_G0002213	0	0	0	0	0
MGP_CAROLIEiJ_G0002214	0.3579155	0.30190085	0	0	0
MGP_CAROLIEiJ_G0002215	0	0	0	0.05463085	0
MGP_CAROLIEiJ_G0002216	1.456168	0	0	0	0
MGP_CAROLIEiJ_G0002217	1.376598	0	0.4567398	0.227554233333333	0
MGP_CAROLIEiJ_G0002218	0	0	0.5497115	0	0.4158095
MGP_CAROLIEiJ_G0002219	0	0	0	0	0
MGP_CAROLIEiJ_G0002220	0	0	0	0	0
MGP_CAROLIEiJ_G0002221	0	0	0	0	0
MGP_CAROLIEiJ_G0002222	0	0	0	0	0
MGP_CAROLIEiJ_G0002223	0	0.5897525	0	0	0
MGP_CAROLIEiJ_G0002224	0	0	0.32954535	0	0
MGP_CAROLIEiJ_G0002225	0	0	0	0	0
MGP_CAROLIEiJ_G0002226	0	0	0	0	0
MGP_CAROLIEiJ_G0002227	0	0.91312105	0	0	0
MGP_CAROLIEiJ_G0002228	0	3.830369e-05	5.20579e-06	0	0
MGP_CAROLIEiJ_G0002229	0	0.5142845	0.2831231	0	0
MGP_CAROLIEiJ_G0002230	0	0	0	0	0
MGP_CAROLIEiJ_G0002231	0	0	0	0	0.3813199
MGP_CAROLIEiJ_G0002232	0	2.5444305	2.141721	0.379831983333333	0
MGP_CAROLIEiJ_G0002233	0.47967365	0.4163385	0.55655	0.415509533333333	0
MGP_CAROLIEiJ_G0002234	0	0.33538215	0	0	0
MGP_CAROLIEiJ_G0002235	0	0	0.3317889	0.0928091833333333	0
MGP_CAROLIEiJ_G0002236	0	0	0	0	0
MGP_CAROLIEiJ_G0002237	0	0	0	0.0844756333333333	0
MGP_CAROLIEiJ_G0002238	0.8362826	0	0	0	0
MGP_CAROLIEiJ_G0002239	0	0	0	0	0
MGP_CAROLIEiJ_G0002240	0	0.2714821	0	0	0
MGP_CAROLIEiJ_G0002241	1.3409343	2.7241105	0.55761	0.0664929666666667	0.517569
MGP_CAROLIEiJ_G0002242	0	0	0	0.07038635	0
MGP_CAROLIEiJ_G0002243	0	1.02913775	0	0.11936635	0
MGP_CAROLIEiJ_G0002244	0	0.74750485	0.4627782	0.108413766666667	0.1869277
MGP_CAROLIEiJ_G0002245	0	0	0.44119865	0.213089683333333	0
MGP_CAROLIEiJ_G0002246	0	0	0	0.06968285	0
MGP_CAROLIEiJ_G0002247	0	0.31540495	0	0.0761392666666667	0
MGP_CAROLIEiJ_G0002248	0.3802331	1.083788	0.954076	0.56624775	0
MGP_CAROLIEiJ_G0002249	0	1.15136925	2.1954635	0.234330733333333	0
MGP_CAROLIEiJ_G0002250	0.68741435	2.318608	0.6216425	0.399024	0
MGP_CAROLIEiJ_G0002251	0	2.7708945	1.52111345	0.649551566666667	0
MGP_CAROLIEiJ_G0002252	0	1.4151095	0.548738	0.461816866666667	0
MGP_CAROLIEiJ_G0002253	0	0.79644	0.4734706	0.251391716666667	0
MGP_CAROLIEiJ_G0002254	0	0.6926605	1.7864265	0.0823245833333333	0
MGP_CAROLIEiJ_G0002255	0	1.92755555	1.7444005	0.273217683333333	0.3123422
MGP_CAROLIEiJ_G0002256	0	1.775784	1.0762315	0.297562766666667	0
MGP_CAROLIEiJ_G0002257	0	2.227332	1.14179355	0.206156366666667	0
MGP_CAROLIEiJ_G0002258	0	2.4074605	0.33747075	0.099274	0
MGP_CAROLIEiJ_G0002259	0	0.30450725	0.64725	0.0790282	0
MGP_CAROLIEiJ_G0002260	0	0	0.834171	0.201461166666667	0
MGP_CAROLIEiJ_G0002261	0	0	0	0	0
MGP_CAROLIEiJ_G0002262	0	1.2699145	0.5247805	0.227976766666667	0.3921591
MGP_CAROLIEiJ_G0002263	0	1.3368825	0	0.1746837	0
MGP_CAROLIEiJ_G0002264	0	0.35376945	0	0.0688928166666667	0
MGP_CAROLIEiJ_G0002270	0.43291585	0.3661789	0	0.110559716666667	0
MGP_CAROLIEiJ_G0002271	0	1.015099	0	0	0
MGP_CAROLIEiJ_G0002272	0	0	0	0	0
MGP_CAROLIEiJ_G0002273	1.0753115	0	0	0.2343174	0
MGP_CAROLIEiJ_G0002274	0	0	0	0	0
MGP_CAROLIEiJ_G0002275	0.41425895	0	0	0	0
MGP_CAROLIEiJ_G0002276	0	0	0	0	0
MGP_CAROLIEiJ_G0002277	0	0	0	0	0
MGP_CAROLIEiJ_G0002278	0	0	0	0	0
MGP_CAROLIEiJ_G0002279	0	0	0	0	0
MGP_CAROLIEiJ_G0002280	0	0	0	0	0
MGP_CAROLIEiJ_G0002281	0	0	0	0	0
MGP_CAROLIEiJ_G0002282	0	0	0	0	0
MGP_CAROLIEiJ_G0002283	0	0	0	0	0
MGP_CAROLIEiJ_G0002284	0	0	0	0	0
MGP_CAROLIEiJ_G0002285	0	0	0.540997	0	0
MGP_CAROLIEiJ_G0002286	0	0	0	0	0
MGP_CAROLIEiJ_G0002287	0	0	0	0	0
MGP_CAROLIEiJ_G0002288	0	0	0	0	0
MGP_CAROLIEiJ_G0008940	0.9722308	0.20449395	0.5026125	0	0
MGP_CAROLIEiJ_G0008941	0	0	0	0	0
MGP_CAROLIEiJ_G0008942	0.1552308	0.11945335	0.0622147	0.02026325	0.06313138
MGP_CAROLIEiJ_G0008943	0	0	0	0	0
MGP_CAROLIEiJ_G0008944	0	0	0	0	0
MGP_CAROLIEiJ_G0008945	0	0	0	0	0
MGP_CAROLIEiJ_G0008946	0	0	0	0	0.09796361
MGP_CAROLIEiJ_G0008947	0	0	0	0	0
MGP_CAROLIEiJ_G0008948	0.90527215	0.24624525	0	0.0225499166666667	0
MGP_CAROLIEiJ_G0008949	3.3313825	5.6587055	5.2940975	6.62064916666667	1.900517
MGP_CAROLIEiJ_G0008950	0.14228255	0	0	0	0
MGP_CAROLIEiJ_G0008951	0	0	0	0	0
MGP_CAROLIEiJ_G0008952	3.773461	3.5868305	6.9770295	7.10353233333333	2.757552
MGP_CAROLIEiJ_G0008953	0	0	0	0	0
MGP_CAROLIEiJ_G0008954	1.5961575	4.2777175	3.654731	2.41289733333333	1.522913
MGP_CAROLIEiJ_G0008955	1.1637505	0.5789279	2.509777	2.62490116666667	0.149308
MGP_CAROLIEiJ_G0008956	0	0	0	0	0
MGP_CAROLIEiJ_G0008957	2.83856	1.8910765	0.9986479	1.32513951666667	0.08213957
MGP_CAROLIEiJ_G0008958	1.9690665	1.0797933	1.6195805	0.511086983333333	0.3517414
MGP_CAROLIEiJ_G0008961	0.324374	0	0	0	0
MGP_CAROLIEiJ_G0008962	0.050148	0.044122915	0.0760781	0.047808255	0
MGP_CAROLIEiJ_G0008963	0	0.304543915	0.172688955	0.104627283333333	0.05025232
MGP_CAROLIEiJ_G0008964	0	0	0	0	0
MGP_CAROLIEiJ_G0008965	0	0	0	0	0.06903599
MGP_CAROLIEiJ_G0008966	0	0.15471325	0	0	0.1584611
MGP_CAROLIEiJ_G0008967	0	0	0.88551845	1.71557066666667	0
MGP_CAROLIEiJ_G0008968	0	0	0	0	0
MGP_CAROLIEiJ_G0008969	0.0907294	0	0	0	0
MGP_CAROLIEiJ_G0008970	1.23547175	0	0	0	0.1336628
MGP_CAROLIEiJ_G0008971	0	0	0	0	0
MGP_CAROLIEiJ_G0008972	0.1024635	0	0	0	0
MGP_CAROLIEiJ_G0008973	0	1.4003225	1.4295685	0	0
MGP_CAROLIEiJ_G0008974	0.36185775	0	0	0.0353589	0
MGP_CAROLIEiJ_G0008975	0	0	0	0	0
MGP_CAROLIEiJ_G0008976	0	0	0	0	0
MGP_CAROLIEiJ_G0008977	0.3225474	1.3086935	0.9754982	0.642911483333333	0.8370632
MGP_CAROLIEiJ_G0008978	0	0	0	0.976895666666667	0
MGP_CAROLIEiJ_G0008979	0	1.2779655	0	0.504158166666667	0
MGP_CAROLIEiJ_G0008980	0.1365938	0	0	0	0
MGP_CAROLIEiJ_G0008981	0	0	0	0	0.7111883
MGP_CAROLIEiJ_G0008982	0	0	0	0.0680321	0.1043218
MGP_CAROLIEiJ_G0008983	0	0	0	0	0
MGP_CAROLIEiJ_G0008984	10.47316	10.0179145	10.880415	10.1223736666667	13.3789
MGP_CAROLIEiJ_G0008985	1.3109557	0	0	0.584560333333333	0.2325171
MGP_CAROLIEiJ_G0008986	0.11149065	0	0	0.04698835	0
MGP_CAROLIEiJ_G0008987	0	0	0	0	0.3327182
MGP_CAROLIEiJ_G0008988	0.0899555	0	0	0.0201728666666667	0.1505025
MGP_CAROLIEiJ_G0008989	0	0	0	0	0
MGP_CAROLIEiJ_G0008990	0	0	0	0.02408235	0
MGP_CAROLIEiJ_G0008991	0	0	0	0	0
MGP_CAROLIEiJ_G0008992	0	0	0	0	0
MGP_CAROLIEiJ_G0008993	0.77866465	0.8951112	0.5626835	0.765627683333333	0
MGP_CAROLIEiJ_G0008994	7.6686785	6.9078895	7.2391255	5.26635866666667	5.073657
MGP_CAROLIEiJ_G0008995	0	0	0	0.8235825	0
MGP_CAROLIEiJ_G0008996	0	0	0	0	0
MGP_CAROLIEiJ_G0008997	0	0	0	0.0745463166666667	0.3157517
MGP_CAROLIEiJ_G0008998	0	1.12290365	0.5874916	0.15110805	0
MGP_CAROLIEiJ_G0008999	0.59065	0.7737645	0	0.3330601	1.71739
MGP_CAROLIEiJ_G0009000	0	0	0	0.0322080333333333	0
MGP_CAROLIEiJ_G0009001	0	0	0	0.0454646	1.212781
